Stimuli,Dosage ,Time point,Cell line,Experiment Type,lncRNA name as in article,NCBI_Gene_symbol,Ensembl_id,Foldchange,Expression,PubMed_ID,Reference
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC009120.4,,ENSG00000261248,3.4880278,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC018642.1,,ENSG00000236753,0.265837565,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC022201.5,,ENSG00000233849,2.2241697,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC023137.2,,ENSG00000228950,2.1197193,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC073283.4,,ENSG00000234690,0.431376981,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC084125.4,,ENSG00000265393,0.486714993,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC091878.1,,ENSG00000215196,2.1490438,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC097517.1,MIR7515HG, ENSG00000236172,0.477361672,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC104777.4,,ENSG00000224048,0.490224507,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC105344.2,,ENSG00000238062,2.5289445,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC109309.4,,ENSG00000224513,2.5027266,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC116609.3,,ENSG00000227713,2.227653,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC144525.1,,ENSG00000226992,0.445746023,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,ADAM20P1,ADAM20P1,ENSG00000259158,3.026707,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AK000840,LINC02996,,2.26327,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AL163953.3,,ENSG00000237356,0.450571415,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AL163953.3,,ENSG00000237356,2.221168,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,ANKRD10-IT1,ANKRD10-IT1,,2.0032008,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,ANKRD30BP2,ANKRD30BP2,ENSG00000224309,2.609708,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,ANKRD36BP2,ANKRD36BP2,ENSG00000230006,2.443647,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,BDNF-AS1,BDNF-AS,ENSG00000245573,2.1370668,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,BZRAP1-AS1,TSPOAP1-AS1,ENSG00000265148,2.1167405,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,C20orf90,LINC00686,,2.0330145,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,C4orf10,NOP14-AS1,,0.496685864,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CROCCP2,CROCCP2,ENSG00000215908,2.1873655,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTA-211A9.5,MIATNB,ENSG00000244625,0.472141035,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTA-211A9.5,MIATNB,ENSG00000244625,0.486105572,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTA-342B11.2,LINC02558,ENSG00000230866,0.457668836,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTA-363E6.1,,ENSG00000259871,0.398339879,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTA-445C9.14,TFIP11-DT,ENSG00000261188,2.1131566,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTB-12O2.1,LINC01933,ENSG00000254226,2.8534315,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTC-338M12.4,CTC-338M12.4,ENSG00000233937,0.479223734,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTC-459F4.1,,ENSG00000261770,2.011879,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTD-2012K14.7,CTCF-DT,ENSG00000259804,2.3323905,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTD-2015A6.1,,ENSG00000248393,2.0588033,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTD-2037K23.2,SCAMP1-AS1,ENSG00000245556,0.490056508,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTD-2071N1.1,,ENSG00000259213,0.423461817,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTD-2216M2.1,,ENSG00000254710,0.365781225,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTD-2329K10.1,,ENSG00000259563,0.3920292,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTD-2341M24.1,LINC02328,ENSG00000258733,0.430754956,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTD-2555K7.2,OXA1L-DT,ENSG00000258458,3.5559018,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,CTD-2587M23.1,,ENSG00000260066,0.434218408,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,DHPS,DHPS,ENSG00000095059,0.417583349,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,DIP2A-IT1,DIP2A-IT1,ENSG00000223692,2.0441895,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,EMX2OS,EMX2OS,ENSG00000229847,0.492673113,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,FLJ37505,LINC02393,ENSG00000256597,2.1819737,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,FLJ38109,SAP30L-AS1,ENSG00000245275,3.0799677,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,FLJ45340,LINC01000,,2.3167768,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,FOXD2-AS1,FOXD2-AS1,ENSG00000237424,0.423221199,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,GOLGA6L5,GOLGA6L5P,ENSG00000230373,2.104755,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,GRM7-AS3,GRM7-AS3,ENSG00000226258,0.399604008,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,GYG2-AS1,GYG2-AS1,,2.4123275,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,HAR1B,HAR1B,ENSG00000231133,0.413310106,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,HBT8,PWAR6,,2.1047966,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,HLA-DPB2,HLA-DPB2,ENSG00000224557,9.853814,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,HLA-DRB6,HLA-DRB6,ENSG00000229391,5.210995,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,KB-1930G5.4,,ENSG00000254084,2.1723995,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LATS2-AS1,LATS2-AS1,,2.0721972,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LINC00114,LINC00114,ENSG00000223806,2.374716,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LINC00174,LINC00174,ENSG00000179406,2.1127598,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LINC00422,LINC00539,ENSG00000224429,2.0269713,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LINC00487,LINC00487,ENSG00000205837,0.461584407,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LINC00520,LINC00520,ENSG00000258791,2.6467896,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LINC00520,LINC00520,ENSG00000258791,8.141903,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LINC00578,LINC00578,ENSG00000228221,0.476155467,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LINC00597,LINC00597,,2.168585,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LINC00615,LINC00615,ENSG00000196243,0.493677351,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LINC00641,LINC00641,ENSG00000258441,2.2179394,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LL22NC03-23C6.13,,ENSG00000278657,2.6214232,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC100131564,CCDC18-AS1,,2.0022104,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC100270804,LINC00653,,2.055671,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC100288615,WHAMMP1,,2.2054605,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC100288846,MIA2-AS1 ,ENSG00000258940,2.1419957,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC100505912,LOC100505912,,2.56085,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC100506599,PPP1R26-AS1 ,ENSG00000225361,2.0005968,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC100506776,TRG-AS1 ,ENSG00000281103,2.1749723,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC145820,LINC00924,ENSG00000259134,0.425230996,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC152742,LINC01085 ,ENSG00000248698,0.496653055,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC283761,LINC00928,ENSG00000259218,4.8758445,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC285540,SEPSECS-AS1,,2.2925768,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC340113,LINC02120 ,ENSG00000248279,3.318189,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC388796,SNHG17,ENSG00000196756,0.494437162,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC401321,LINC00997,,0.438715791,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC440905,FAR2P1,ENSG00000286058,2.0456095,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC643401,PURPL,ENSG00000250337,2.5167534,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC644656,LOC644656,ENSG00000268403,2.0559802,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC646719,NIPBL-DT,ENSG00000285967,2.567754,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC646719,NIPBL-DT,ENSG00000285967,2.567754,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,LOC652276,LOC652276,ENSG00000215154,0.418683851,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,MARK2P9,MARK2P9,,2.576869,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,MIR17HG,MIR17HG,ENSG00000215417,2.3589103,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,MIR17HG,MIR17HG,ENSG00000215417,2.4094963,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,MTND5,MT-ND5,,0.483848484,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,NALCN-AS1,NALCN-AS1,ENSG00000233009,0.463846333,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,NPSR1-AS1,NPSR1-AS1,ENSG00000197085,0.461458225,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,OIP5-AS1,OIP5-AS1,ENSG00000247556,2.2643938,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
