level_0,index,Accession,Checked,Protein FDR Confidence: Combined,Master,Unique Sequence ID,Protein Group IDs,Description,Exp. q-value: Combined,Sum PEP Score,# Decoy Protein: Combined,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,Coverage [%] (by Search Engine): Mascot,Coverage [%] (by Search Engine): Sequest HT,# PSMs (by Search Engine): Mascot,# PSMs (by Search Engine): Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,normalized Abundances (by Bio. Rep.): Cntrol 1,normalized Abundances (by Bio. Rep.): Cntrol 2,normalized Abundances (by Bio. Rep.): Cntrol 3,normalized Abundances (by Bio. Rep.): Sample- B1,normalized Abundances (by Bio. Rep.): Sample- B2,normalized Abundances (by Bio. Rep.): Sample- B3,normalized Abundances (by Bio. Rep.): Sample- A1,normalized Abundances (by Bio. Rep.): Sample- A2,normalized Abundances (by Bio. Rep.): Sample- A3,normalized Abundances (by Bio. Rep.): Sample- C1,normalized Abundances (by Bio. Rep.): Sample- C2,normalized Abundances (by Bio. Rep.): Sample- C3
10,10,NP_002464.1,False,High,Master Protein,2962281166201317376,2863,MYH9#4627#myosin-9 [Homo sapiens],0,694.687,0,44,79,1406,66,66,1,1960,226.4,5.6,10014,2405.05,44,38,701,705,78,62,13,18645.4,17893.2,15199.7,15546.7,17064.8,15546.7,17064.8,16339.7,13878.9,16600.8,15822.8,13383.8,17616.51610859404,15829.64765273456,14025.94647339724,16716.03376134054,15200.727303223983,12831.26124719259,15200.888677891457,15631.855215577189,14642.944889349686,16600.8,14679.598520953163,12575.505355762944
11,11,NP_001104026.1,False,High,Master Protein,-4567547795878987264,1081,FLNA#2316#filamin-A isoform 2 [Homo sapiens],0,693.035,0,47,84,810,0,78,1,2647,280.6,6.06,3837,1225.28,45,46,371,439,81,82,7,12269.9,11744.8,10437.3,11456.3,13562.4,11456.3,13562.4,12663.4,11240.9,12774.0,12330.4,10863.1,11592.826702609651,10390.318431126732,9631.309244708053,13285.214962074266,11780.686923973302,10392.388773862998,11201.473043187807,12423.554520166897,10790.326534625148,12774.0,11439.525343350158,10207.039273613505
12,12,NP_005091.2,False,High,Master Protein,-8201100139023696896,243,AKAP12#9590#A-kinase anchor protein 12 isoform 1 [Homo sapiens],0,663.494,0,58,73,993,0,73,1,1782,191.4,4.41,4550,1615.71,56,54,452,541,71,64,0,12800.6,13270.7,10591.0,10626.9,12149.0,10626.9,12149.0,12740.3,9978.5,13529.6,14234.2,11062.0,12094.241802249824,11740.242388457322,9773.14020011909,11900.701688067027,11852.226544016383,9225.280127035374,10390.521711429737,11128.838838664811,10009.140913803583,13529.6,13205.775290527057,10393.927004695952
13,13,XP_005254502.1,False,High,Master Protein,6488855965708197888,3729,PKM#5315#pyruvate kinase PKM isoform X4 [Homo sapiens],0,659.459,0,77,41,2847,0,5,1,531,57.9,7.84,18334,4862.45,77,69,1318,1529,41,39,50,56097.1,52408.9,52268.8,48863.0,47841.2,48863.0,47841.2,44532.0,43969.5,48862.2,45827.8,45655.4,53001.56959868979,46364.787789070724,48232.49084052354,46863.43317138466,41427.85903457042,40650.494016704106,47776.121200499794,43823.93650904033,46022.513853634126,48862.2,42516.72934616739,42898.11019437675
14,14,NP_001367.2,False,High,Master Protein,-2305783293341844736,1619,DYNC1H1#1778#cytoplasmic dynein 1 heavy chain 1 [Homo sapiens],0,654.727,0,30,102,700,102,102,1,4646,532.1,6.4,3364,1082.75,29,29,360,340,99,97,0,8774.4,9408.9,10434.5,11018.6,8628.0,11018.6,8628.0,9218.7,10465.2,7903.5,8461.7,9519.9,8290.214151653896,8323.80858649175,9628.725466730493,8451.66303108423,8576.102669585789,9675.241928691748,10773.508975294744,7903.5,10378.070751850131,7903.5,7850.339940133819,8944.959834750043
15,15,NP_004915.2,False,High,Master Protein,3453697574232543232,2984,ACTN4#81#alpha-actinin-4 isoform 1 [Homo sapiens],0,640.574,0,77,63,1668,0,45,1,911,104.8,5.44,9286,2520.79,77,72,821,847,63,58,20,27908.4,29233.9,25519.7,24989.9,31759.5,24989.9,31759.5,33438.7,28342.9,32756.3,34752.4,29715.2,26368.368507250365,25862.469346750546,23549.01387640253,31110.407050964255,31107.826953635362,26203.45664303762,24434.03989088615,29092.629607093182,23537.196221086127,32756.3,32241.529921352274,27920.594804731616
16,16,NP_733821.1,False,High,Master Protein,491541445040481152,2267,LMNA#4000#lamin isoform A [Homo sapiens],0,637.934,0,76,61,2767,0,4,1,664,74.1,7.02,13070,3834.81,75,74,1304,1463,59,54,69,53423.5,58666.5,47583.9,51319.2,62949.9,51319.2,62949.9,69295.0,56365.6,63557.8,69745.2,56655.1,50475.50325160488,51900.7234043744,43909.3688951418,61663.34522953746,64464.73304142094,52110.883352049415,50177.68698427622,57663.94699235049,48335.930928461625,63557.8,64706.09087921117,53233.499714676334
17,17,NP_005338.1,False,High,Master Protein,682895518506643584,2325,HSPA5#3309#endoplasmic reticulum chaperone BiP precursor [Homo sapiens],0,616.093,0,73,52,2721,48,49,1,654,72.3,5.16,13276,3993.22,72,73,1274,1447,51,46,3,40084.7,38870.6,39767.4,40241.5,46518.1,40241.5,46518.1,45712.7,46483.6,41136.6,40907.6,41797.7,37872.76021207158,34387.80665562247,36696.47583742951,45567.37436790442,42526.25733606412,42974.81899213925,39346.39259337152,42611.93826495132,37902.19575631905,41136.6,37952.0150956685,39273.39023360875
18,18,NP_001269554.1,False,High,Master Protein,-1099892537052863360,1885,LMNA#4000#lamin isoform C [Homo sapiens],0,606.616,0,76,58,2714,0,1,1,572,65.1,6.84,12635,3798.54,76,74,1284,1430,56,51,0,444.2,513.0,179.0,186.5,454.3,186.5,454.3,533.4,180.3,411.2,534.2,162.3,419.6883121540687,453.8377286261166,165.1772349939871,445.01512691487784,496.21889897242124,166.6901845873105,182.3516076354954,416.1520688456189,175.65844982303102,411.2,495.60390890949645,152.49813350769782
19,19,NP_002853.2,False,High,Master Protein,-8210818149912646656,240,"PYGB#5834#glycogen phosphorylase, brain form [Homo sapiens]",0,600.892,0,74,70,1503,58,58,1,843,96.6,6.86,9868,2428.34,74,73,734,769,67,61,12,23078.4,23828.0,28023.9,29660.0,23143.9,29660.0,23143.9,24146.6,28292.2,21546.6,22314.3,26312.5,21804.895864962764,21080.010521838412,25859.834166189918,22670.890591691044,22463.44069352731,26156.58369595733,29000.261032004255,21200.488369262865,27935.81566622574,21546.6,20702.085931447353,24723.3957974202
20,20,XP_011522180.1,False,High,Master Protein,7563214759205697536,3982,MYH10#4628#myosin-10 isoform X1 [Homo sapiens],0,595.936,0,39,68,1135,0,57,1,2016,233.3,5.62,8026,1903.21,37,33,563,572,66,53,1,12920.4,12104.5,9708.3,9566.3,11899.0,9566.3,11899.0,11296.9,9053.9,11585.5,10896.4,8673.3,12207.431040872196,10708.53564552598,8958.604192693434,11655.811127361063,10509.439969631694,8370.47289093206,9353.513051600212,10899.831536856746,9010.19532730328,11585.5,10109.132222091795,8149.488979373476
21,21,NP_001258898.1,False,High,Master Protein,-2220837361715177216,1638,HSP90AB1#3326#heat shock protein HSP 90-beta isoform a [Homo sapiens],0,593.239,0,67,50,3487,0,30,1,724,83.2,5.03,13508,5581.42,67,63,1601,1886,50,42,23,45755.2,45825.0,50403.0,50918.0,42287.8,50918.0,42287.8,42383.7,46361.5,39637.1,39521.9,43547.7,43230.35267958542,40540.18306879492,46510.77192961973,41423.53221208666,39429.308114693304,42861.93562254352,49785.41103262281,38736.859909596664,47958.05334096029,39637.1,36666.43228665336,40917.70159305712
22,22,NP_001952.1,False,High,Master Protein,3819136565778514944,3072,EEF2#1938#elongation factor 2 [Homo sapiens],0,587.683,0,67,51,1910,50,50,1,858,95.3,6.83,11039,3019.65,67,66,895,1015,51,48,1,41114.4,41922.4,40417.8,40476.7,37942.9,40476.7,37942.9,38592.7,36833.4,33829.0,34805.5,33419.2,38845.63966957956,37087.654570283645,37296.650550502636,37167.43222324129,35902.56299657473,34053.057376473895,39576.360947880195,34756.80460709318,38123.72319545243,33829.0,32290.793432327737,31400.897247815486
23,23,XP_016877802.1,False,High,Master Protein,-3449706356717901824,1323,PKM#5315#pyruvate kinase PKM isoform X5 [Homo sapiens],0,561.517,0,71,39,2599,0,3,1,531,58.0,7.71,16916,4278.48,71,63,1214,1385,39,36,0,1434.0,153.0,268.9,229.2,1333.0,229.2,1333.0,129.6,219.1,1302.3,138.0,224.0,1354.8695173996725,135.35511204638564,248.134963630632,1305.7564696842,120.56612168508772,202.56139458169568,224.10181485284474,1221.066933240612,215.876228951414,1302.3,128.0294635520601,210.4718540093919
24,24,NP_009057.1,False,High,Master Protein,-6896953880380314624,525,VCP#7415#transitional endoplasmic reticulum ATPase isoform 1 [Homo sapiens],0,558.759,0,76,54,1620,3,54,1,806,89.3,5.26,8857,2601.29,76,68,771,849,54,47,0,30516.6,28886.6,27939.1,26789.0,28127.5,26789.0,28127.5,26863.6,26469.2,28433.4,27325.8,26506.4,28832.643734085665,25555.222089144598,25781.582604583826,27552.63698502801,24991.04989582965,24471.19153565413,26193.12180668786,25765.61152642559,25231.71159415109,28433.4,25351.50373283249,24905.58549604708
25,25,NP_003290.1,False,High,Master Protein,-8293079878251606016,219,HSP90B1#7184#endoplasmin precursor [Homo sapiens],0,540.241,0,71,59,2457,57,57,1,803,92.4,4.84,10608,3401.53,71,63,1165,1292,59,51,2,43212.6,42647.5,44596.5,41138.6,47689.6,41138.6,47689.6,46625.5,49971.0,44645.9,43807.9,46562.3,40828.05753667021,37729.13164051132,41152.66234865556,46714.93153537256,43375.42983509304,46198.97511931499,40223.538047579576,43685.06648122392,38747.14586536056,44645.9,40642.7676546543,43750.23932116745
26,26,XP_011541100.1,False,High,Master Protein,-772083225745130752,1971,HSPA8#3312#heat shock cognate 71 kDa protein isoform X1 [Homo sapiens],0,535.529,0,80,48,2339,9,39,1,646,70.9,5.52,10260,3260.34,80,78,1061,1278,48,46,6,43736.4,41527.0,47141.4,46560.9,39888.0,46560.9,39888.0,37439.0,41888.3,38765.7,36773.9,41399.5,41322.95338967855,36737.85449640691,43501.03969690248,39072.77874175797,34829.28263709876,38726.39189710837,45525.22771021736,36538.573018080664,43854.238693647,38765.7,34116.97601244278,38899.23892884741
27,27,NP_006827.1,False,High,Master Protein,-5866289401045489664,770,GCN1#10985#eIF-2-alpha kinase activator GCN1 [Homo sapiens],0,533.25,0,38,77,653,77,77,1,2671,292.5,7.43,3450,1015.6,35,36,313,340,73,70,0,9107.6,8933.8,11627.6,11035.0,8273.4,11035.0,8273.4,7994.2,10729.9,7903.0,7717.9,10079.9,8605.02762668707,7903.5,10729.691718525612,8104.31025977889,7436.957484374447,9919.96124017406,10789.544183687356,7578.676043115437,10393.517393014194,7903.0,7160.279686582932,9471.139469773523
28,28,NP_001348.2,False,High,Master Protein,7054273267636823040,3854,DHX9#1660#ATP-dependent RNA helicase A [Homo sapiens],0,523.236,0,48,51,974,51,51,1,1270,140.9,6.84,6291,1618.59,48,45,491,483,51,45,0,12381.4,13556.5,12207.7,12672.4,13003.0,12672.4,13003.0,14191.3,13057.9,13392.4,14409.4,12914.4,11698.173948906768,11993.082199064229,11264.995148805008,12737.247843438601,13202.083353931986,12072.23383983717,12390.522855764353,11911.127781641168,11935.73265167495,13392.4,13368.31704425402,12134.454068834333
29,29,NP_001419.1,False,High,Master Protein,5579729439990208512,3523,ENO1#2023#alpha-enolase isoform 1 [Homo sapiens],0,512.817,0,72,33,3676,5,30,1,434,47.1,7.39,15112,5854.93,71,72,1679,1997,32,30,4,60020.2,60428.7,65880.3,63647.8,56577.2,63647.8,56577.2,57363.7,62621.9,57985.7,59014.6,64077.5,56708.1864771491,53459.69581253218,60792.88153393502,55420.88892469386,53365.114463787555,57894.93106049972,62232.05711776131,51826.36766342141,59947.84923670946,57985.7,54750.77956332903,60207.63493431611
30,30,XP_016860269.1,False,High,Master Protein,5950667386624240640,3608,"SPTBN1#6711#spectrin beta chain, non-erythrocytic 1 isoform X1 [Homo sapiens]",0,512.358,0,43,79,533,0,73,1,2364,274.4,5.57,2840,769.35,43,41,262,271,79,73,6,10319.9,9004.7,7088.0,6362.7,9631.1,6362.7,9631.1,8050.7,6369.4,9370.8,7922.4,6245.0,9750.430915350684,7966.223381987509,6540.649394622238,9434.26191686084,7489.519103781912,5888.610436552499,6221.171978028775,8822.368897774688,5992.825837474527,9370.8,7350.004507571311,5867.842537002913
31,31,NP_005339.3,False,High,Master Protein,-7065009906831581184,479,HSP90AA1#3320#heat shock protein HSP 90-alpha isoform 2 [Homo sapiens],0,502.605,0,70,50,2948,1,32,1,732,84.6,5.02,10321,4657.0,70,59,1377,1571,50,39,0,12065.9,15517.2,14442.3,14112.3,11457.6,14112.3,11457.6,14410.9,13268.6,10457.1,13310.3,12337.8,11400.083758711791,13727.662383308336,13327.034530467372,11223.432353378614,13406.375949009496,12267.029302358227,13798.394597503495,10495.496244784423,13291.92890851239,10457.1,12348.627309543373,11592.676966058372
32,32,XP_005271449.1,False,High,Master Protein,-2642413420324570624,1527,HYOU1#10525#hypoxia up-regulated protein 1 isoform X1 [Homo sapiens],0,470.492,0,51,43,991,0,42,1,1000,111.3,5.22,5655,1615.45,51,51,469,522,43,40,1,13172.2,16357.5,14247.3,12343.3,13982.8,12343.3,13982.8,17181.3,15260.0,13629.0,16922.6,14730.2,12445.336302016713,14471.053890841524,13147.09284988733,13697.022928957414,15983.662858858008,14108.109910162832,12068.743155641878,12808.653198887343,11625.763773193665,13629.0,15699.937680478928,13840.591535397967
33,33,XP_016885266.1,False,High,Master Protein,-8490614885601303552,180,UBA1#7317#ubiquitin-like modifier-activating enzyme 1 isoform X1 [Homo sapiens],0,469.502,0,60,46,1217,0,46,1,1109,123.1,5.85,8011,1932.67,58,59,551,666,45,44,0,15349.7,12574.4,14278.8,14440.0,14444.1,14440.0,14444.1,11780.7,13456.1,13948.6,11346.2,13065.0,14502.678264455895,11124.243927556025,13176.160352134877,14148.89499157206,10959.516278823405,12440.376000140372,14118.805438372941,13231.217472183587,13600.579171284546,13948.6,10526.434053292642,12275.958806396005
34,34,NP_004095.4,False,High,Master Protein,-6252367434931230720,666,FASN#2194#fatty acid synthase [Homo sapiens],0,460.858,0,37,66,586,66,66,1,2511,273.3,6.44,3291,920.07,36,36,282,304,64,65,0,7779.3,7821.3,9231.6,8391.3,6929.1,8391.3,6929.1,6829.3,8071.0,6986.8,7086.3,8126.4,7350.025409140358,6919.300247375138,8518.715992013918,6787.484736750782,6353.257830431865,7461.76638826502,8204.649035666125,6347.257979833102,7903.5,6986.8,6574.3129533982865,7635.618189383582
35,35,NP_001605.1,False,High,Master Protein,6980118088250601472,3836,"ACTG1#71#actin, cytoplasmic 2 [Homo sapiens]",0,452.043,0,83,25,3533,1,1,1,375,41.8,5.48,24969,5726.65,83,79,1712,1821,25,24,0,3016.2,1344.6,1039.7,1009.0,3163.5,1009.0,3163.5,1427.2,1139.3,3119.5,1459.3,1156.6,2849.7611146310264,1189.532572925295,959.4121297388178,3098.8451551732687,1327.7158091740525,1053.3007615103875,986.5564187893558,2897.8583970792765,950.345178935326,3119.5,1353.8651895762414,1086.7488676217083
36,36,NP_001093.1,False,High,Master Protein,-1518063030880019968,1795,ACTN1#87#alpha-actinin-1 isoform b [Homo sapiens],0,450.937,0,71,50,1071,0,32,1,892,103.0,5.41,6057,1569.28,69,67,524,547,49,45,0,6881.1,7018.3,6259.4,6166.2,7377.1,6166.2,7377.1,7558.9,6707.8,8069.5,8278.2,7380.4,6501.3895649783035,6208.907077615349,5776.035668834429,7226.328621535869,7032.000441399766,6201.4665567097145,6029.042804300224,6757.639064673157,5807.7487040148735,8069.5,7680.097863599015,6934.671747013017
37,37,NP_001092.1,False,High,Master Protein,-174490317750568224,2100,"ACTB#60#actin, cytoplasmic 1 [Homo sapiens]",0,447.673,0,83,25,3461,1,1,1,375,41.7,5.48,24131,5726.65,83,79,1640,1821,25,24,36,44543.2,44670.9,44413.3,46037.2,45927.7,45398.0,54810.4,53502.5,52601.8,54852.2,53719.8,53205.3,42085.23283642754,39519.1808804764,40983.609446695235,53690.19835407268,49773.06269642289,48631.19107944975,45013.176573924015,42071.11462100138,42758.93997354403,54852.2,49838.53026176782,49992.04524163348
38,38,XP_016884680.1,False,High,Master Protein,-8775397801672845312,104,HUWE1#10075#E3 ubiquitin-protein ligase HUWE1 isoform X1 [Homo sapiens],0,441.813,0,24,64,445,0,64,1,4501,494.0,5.24,1968,767.85,22,23,204,241,60,63,0,5463.3,6840.8,6683.3,5436.0,6705.0,6653.0,5311.5,6692.7,6459.4,5079.4,6314.4,6395.6,5161.826104888167,6051.877454162843,6167.2011990799665,5202.944852758911,6226.179649705144,5971.816851487928,5315.084928185271,6141.97583449235,6266.250223445712,5079.4,5858.1829322690455,6009.347274564584
39,39,NP_002037.2,False,High,Master Protein,562319574892213760,2291,GAPDH#2597#glyceraldehyde-3-phosphate dehydrogenase isoform 1 [Homo sapiens],0,436.172,0,87,25,2074,1,25,1,335,36.0,8.46,10417,3135.03,83,87,916,1158,24,24,0,38264.4,37286.9,43240.0,36867.9,36404.2,41705.2,34335.1,33755.6,37944.1,34229.8,33346.6,38731.4,36152.90736512415,32986.74854485214,39900.914196312864,33633.36756358138,31402.637169391568,35079.91698834924,36047.83289621813,33347.31046592489,39280.80848021165,34229.8,30937.29934264585,36392.274849907866
40,40,NP_001244957.1,False,High,Master Protein,3125798911978513920,2908,TKT#7086#transketolase isoform 2 [Homo sapiens],0,431.727,0,73,39,1082,0,39,1,631,68.8,7.52,5485,1672.5,71,72,497,585,37,34,0,24305.6,19700.4,20391.3,24862.2,19793.3,20791.0,23307.4,18693.5,20205.9,22907.0,18242.7,19198.2,22964.376947077737,17428.43038796481,18816.63995493234,22831.049018392743,17390.45367068046,18680.67221715329,24309.18037187782,18131.24090751043,19582.385148904224,22907.0,16924.66010682005,18038.753337692444
41,41,NP_000173.2,False,High,Master Protein,454806171855366464,2254,"HADHA#3030#trifunctional enzyme subunit alpha, mitochondrial precursor [Homo sapiens]",0,429.944,0,69,45,725,45,45,1,763,82.9,9.04,4488,1062.57,66,67,373,352,44,39,0,10071.5,10902.8,12468.4,10105.7,10902.5,12480.9,11481.1,12318.0,14163.4,12690.4,13993.0,15765.8,9515.738036604464,9645.42297790414,11505.563334072785,11246.452066084974,11459.363324976162,13094.285969960698,9880.914966659657,9987.00843184979,11755.364860033607,12690.4,12982.002054231718,14813.648017594958
42,42,NP_001677.2,False,High,Master Protein,2402053168044673024,2733,"ATP5F1B#506#ATP synthase subunit beta, mitochondrial precursor [Homo sapiens]",0,423.896,0,74,26,1198,26,26,1,529,56.5,5.4,9795,2263.29,74,74,564,634,26,26,0,13484.6,13089.5,19032.4,14233.8,14027.7,20355.9,15386.7,15083.1,22388.7,15711.4,15246.9,22489.6,12740.497555319123,11579.939471445523,17562.677135751732,15072.230361657827,14031.71967583601,20698.705134053904,13917.192025534125,12849.782910292073,19172.57822387473,15711.4,14145.307448057283,21131.374142542947
43,43,NP_003861.1,False,High,Master Protein,8705476780399299584,4242,IQGAP1#8826#ras GTPase-activating-like protein IQGAP1 [Homo sapiens],0,419.852,0,47,51,467,48,51,1,1657,189.1,6.48,2190,785.35,47,46,232,235,51,48,0,5029.2,5023.5,4087.8,5019.1,5076.6,4206.3,4710.1,4613.7,3786.1,4450.5,4454.1,3666.6,4751.680458093747,4444.159512189663,3772.1312916671536,4613.836119924645,4292.098114340195,3500.3089731892196,4907.458197765764,4650.313873435327,3961.7808980730047,4450.5,4132.290098603123,3445.1611603162337
