Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Intensity: F1: 126  Sample  DGN,Intensity: F1: 127N  Sample  DGD,Intensity: F1: 127C  Sample  CA4N,Intensity: F1: 128N  Sample  CA4D,Intensity: F1: 128C  Sample  CA3N,Intensity: F1: 129N  Sample  CA3D,Intensity: F1: 129C  Sample  CA2N,Intensity: F1: 130N  Sample  CA2D,Intensity: F1: 130C  Sample  CA1N,Intensity: F1: 131  Sample  CA1D,Found in Sample: [S1] F1: 126  Sample  DGN,Found in Sample: [S2] F1: 127N  Sample  DGD,Found in Sample: [S3] F1: 127C  Sample  CA4N,Found in Sample: [S4] F1: 128N  Sample  CA4D,Found in Sample: [S5] F1: 128C  Sample  CA3N,Found in Sample: [S6] F1: 129N  Sample  CA3D,Found in Sample: [S7] F1: 129C  Sample  CA2N,Found in Sample: [S8] F1: 130N  Sample  CA2D,Found in Sample: [S9] F1: 130C  Sample  CA1N,Found in Sample: [S10] F1: 131  Sample  CA1D,Modifications,normalized Intensity: F1: 126  Sample  DGN,normalized Intensity: F1: 127C  Sample  CA4N,normalized Intensity: F1: 128N  Sample  CA4D,normalized Intensity: F1: 129C  Sample  CA2N,normalized Intensity: F1: 127N  Sample  DGD,normalized Intensity: F1: 128C  Sample  CA3N,normalized Intensity: F1: 129N  Sample  CA3D,normalized Intensity: F1: 130C  Sample  CA1N
False,High,IsMasterProtein,NP_000549.1,HBA1#3039#hemoglobin subunit alpha [Homo sapiens],0.0,12.83,16,3,7,3,1,142,15.2,8.68,66.0,5.31,3.0,2.0,0,140.9,126.5,120.1,316.7,106.7,205.4,114.2,307.2,179.2,237.3,High,High,High,High,High,High,High,High,High,High,0.0,107.5,259.9,333.67499999999995,76.825,159.22500000000002,92.6875,313.45,141.8875
False,High,IsMasterProtein,NP_000680.2,ALDH1A1#216#retinal dehydrogenase 1 [Homo sapiens],0.007,2.92,3,1,1,1,1,501,54.8,6.73,44.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,Not Found,High,High,High,High,High,High,High,High,Acetyl [N-Term],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_000687.3,ALDH9A1#223#4-trimethylaminobutyraldehyde dehydrogenase isoform 1 [Homo sapiens],0.007,2.286,2,1,2,1,1,518,56.3,6.57,20.0,2.73,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_000692.2,ATP1A1#476#sodium/potassium-transporting ATPase subunit alpha-1 isoform a [Homo sapiens],0.0,60.791,15,13,31,4,1,1023,112.8,5.49,406.0,54.32,12.0,13.0,0,266.1,128.7,74.9,139.4,170.1,106.9,212.8,159.0,216.7,243.7,High,High,High,High,High,High,High,High,High,High,0.0,259.9,155.35000000000002,153.825,146.55,161.4625,140.4375,170.27499999999998,159.22500000000002
False,High,IsMasterProtein,NP_000693.1,ATP1A2#477#sodium/potassium-transporting ATPase subunit alpha-2 precursor [Homo sapiens],0.0,46.407,12,10,26,2,1,1020,112.2,5.66,347.0,42.49,10.0,10.0,0,71.3,43.0,26.0,53.1,37.6,44.9,45.1,50.8,50.2,92.9,High,High,High,High,High,High,High,High,High,High,0.0,56.5,60.25,64.675,31.0625,56.987500000000004,31.1875,75.3625,37.3375
False,High,IsMasterProtein,NP_000792.1,FKBP1A#2280#peptidyl-prolyl cis-trans isomerase FKBP1A isoform a [Homo sapiens],0.008,3.218,12,1,1,1,1,108,11.9,8.16,38.0,0.0,1.0,0.0,0,38.0,21.5,11.9,18.8,26.9,20.3,36.4,24.0,35.2,40.1,High,High,High,High,High,High,High,High,High,High,0.0,27.4125,26.275,22.3625,24.7125,28.1875,23.025,34.05,25.3
False,Medium,IsMasterProtein,NP_000840.2,GSTM3#2947#glutathione S-transferase Mu 3 [Homo sapiens],0.042,1.332,5,1,2,1,1,225,26.5,5.54,29.0,2.74,1.0,1.0,0,35.2,24.2,8.1,25.7,17.5,15.6,20.3,29.9,18.4,49.1,High,High,High,High,High,High,High,High,High,High,0.0,25.3875,18.225,31.9,12.7625,33.0,14.0,26.275,10.712499999999999
False,High,IsMasterProtein,NP_000843.1,GSTP1#2950#glutathione S-transferase P [Homo sapiens],0.008,3.313,8,2,4,2,1,210,23.3,5.64,0.0,4.07,2.0,2.0,0,37.8,21.9,13.2,22.9,30.1,21.5,30.6,20.3,32.4,46.0,High,High,High,High,High,High,High,High,High,High,0.0,27.175,30.575000000000003,28.4625,20.375,29.287499999999998,25.7,35.175,22.7625
False,High,IsMasterProtein,NP_000935.1,PPP3CA#5530#serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform isoform 1 [Homo sapiens],0.0,6.948,3,2,4,2,1,521,58.7,5.86,31.0,6.15,2.0,2.0,0,74.9,47.2,25.4,33.5,50.0,31.8,66.1,37.5,81.9,66.3,High,High,High,High,High,High,High,High,High,High,0.0,59.8125,57.9125,39.725,45.349999999999994,62.287499999999994,41.824999999999996,56.5,57.425000000000004
False,High,IsMasterProtein,NP_000936.1,PPP3R1#5534#calcineurin subunit B type 1 [Homo sapiens],0.002,4.128,6,1,2,1,1,170,19.3,4.81,30.0,2.54,1.0,1.0,0,31.0,25.2,12.7,24.4,24.2,18.2,24.0,20.9,28.6,32.4,High,High,High,High,High,High,High,High,High,High,0.0,22.7625,28.012500000000003,30.462500000000002,14.5375,33.4375,20.95,29.6875,19.6875
False,High,IsMasterProtein,NP_000962.2,RPL7#6129#60S ribosomal protein L7 isoform 1 [Homo sapiens],0.009,1.948,4,1,2,1,1,248,29.2,10.65,27.0,2.7,1.0,1.0,0,32.2,14.9,9.6,15.6,36.2,11.4,50.2,18.5,44.1,46.1,High,High,High,High,High,High,High,High,High,High,0.0,23.6125,20.95,18.775,34.05,20.375,30.462500000000002,19.0375,33.1875
False,High,IsMasterProtein,NP_000967.1,RPL12#6136#60S ribosomal protein L12 [Homo sapiens],0.003,4.909,15,2,3,2,1,165,17.8,9.42,43.0,3.28,2.0,1.0,0,14.8,7.8,2.5,9.0,15.2,6.9,18.3,10.3,21.5,21.4,High,High,High,High,High,High,High,High,High,High,0.0,12.7625,9.2375,10.712499999999999,10.712499999999999,12.55,11.225,13.45,12.7625
False,High,IsMasterProtein,NP_000969.1,RPL23#9349#60S ribosomal protein L23 [Homo sapiens],0.009,1.85,5,1,2,1,1,140,14.9,10.51,0.0,2.05,1.0,1.0,0,12.5,7.6,2.9,10.9,160.7,0.0,177.8,13.9,124.2,143.5,High,High,High,High,High,Not Found,High,High,High,High,0.0,10.3625,10.024999999999999,13.524999999999999,125.15,12.0625,131.59999999999997,0.0,85.9
False,High,IsMasterProtein,NP_000970.1,RPL18#6141#60S ribosomal protein L18 isoform 1 [Homo sapiens],0.006,2.379,7,1,2,1,1,188,21.6,11.72,21.0,2.98,1.0,1.0,0,26.7,17.7,9.1,16.3,21.8,14.4,31.3,16.9,29.7,41.1,High,High,High,High,High,High,High,High,High,High,0.0,20.5625,19.95,19.6875,20.95,23.6125,18.049999999999997,24.7125,20.7625
False,High,IsMasterProtein,NP_000971.1,RPL18A#6142#60S ribosomal protein L18a [Homo sapiens],0.0,7.24,12,2,4,2,1,176,20.7,10.71,19.0,5.18,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_000972.1,RPL19#6143#60S ribosomal protein L19 isoform 1 [Homo sapiens],0.002,4.291,9,1,2,1,1,196,23.5,11.47,26.0,3.03,1.0,1.0,0,17.7,9.0,7.9,11.4,16.1,8.0,18.5,8.4,17.5,19.4,High,High,High,High,High,High,High,High,High,High,0.0,14.95,17.5625,14.1875,11.225,14.1875,11.675,15.1125,9.7625
False,High,IsMasterProtein,NP_000975.2,RPL23A#6147#60S ribosomal protein L23a [Homo sapiens],0.0,9.43,13,2,6,2,1,156,17.7,10.45,80.0,10.48,2.0,2.0,0,32.9,9.7,14.1,20.6,62.6,17.3,75.1,23.1,67.0,76.6,High,High,High,High,High,High,High,High,High,High,0.0,24.25,32.8875,25.3875,49.775,14.95,51.6125,28.4625,49.4
False,Medium,IsMasterProtein,NP_000980.1,RPL30#6156#60S ribosomal protein L30 [Homo sapiens],0.034,1.412,7,1,1,1,1,115,12.8,9.63,0.0,0.0,1.0,0.0,0,58.8,30.9,18.6,38.3,71.0,24.3,75.5,48.8,67.1,74.5,High,High,High,High,High,High,High,High,High,High,0.0,44.45,42.8875,45.349999999999994,50.175,39.2875,59.025,40.3375,49.775
False,High,IsMasterProtein,NP_000995.1,RPLP2#6181#60S acidic ribosomal protein P2 [Homo sapiens],0.007,2.954,29,1,2,1,1,115,11.7,4.54,16.0,2.66,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,Not Found,Not Found,Not Found,High,Not Found,High,Not Found,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001001.2,RPS6#6194#40S ribosomal protein S6 [Homo sapiens],0.002,3.813,5,1,2,1,1,249,28.7,10.84,27.0,2.71,1.0,1.0,0,33.7,19.1,12.1,22.3,30.2,18.6,47.1,20.2,34.2,55.7,High,High,High,High,High,High,High,High,High,High,0.0,24.7125,26.9,27.075,32.3375,24.887500000000003,25.950000000000003,30.375,24.25
False,High,IsMasterProtein,NP_001001973.1,"ATP5F1C#509#ATP synthase subunit gamma, mitochondrial isoform L (liver) precursor [Homo sapiens]",0.0,5.489,8,2,4,2,1,298,33.0,9.22,71.0,5.05,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001001995.1,GPM6B#2824#neuronal membrane glycoprotein M6-b isoform 1 [Homo sapiens],0.0,5.318,3,1,2,1,1,328,36.2,6.09,28.0,2.81,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001002.1,RPS7#6201#40S ribosomal protein S7 [Homo sapiens],0.006,2.487,6,1,2,1,1,194,22.1,10.1,32.0,2.49,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001003.1,RPS8#6202#40S ribosomal protein S8 [Homo sapiens],0.002,3.743,10,2,3,2,1,208,24.2,10.32,34.0,5.11,1.0,2.0,0,59.3,49.8,23.1,45.8,59.0,32.7,69.5,42.1,66.3,82.7,High,High,High,High,High,High,High,High,High,High,0.0,44.85,52.337500000000006,55.9125,47.975,65.5625,47.6125,57.9125,48.925
False,High,IsMasterProtein,NP_001007.2,RPS12#6206#40S ribosomal protein S12 [Homo sapiens],0.0,13.67,23,2,4,2,1,132,14.5,7.21,152.0,2.6,2.0,1.0,0,10.2,9.9,6.8,8.8,61.4,6.4,62.4,11.7,43.8,59.4,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],8.4875,14.95,10.3625,42.1875,15.4875,49.775,12.7625,32.7375
False,High,IsMasterProtein,NP_001007068.1,SDCBP#6386#syntenin-1 isoform 1 [Homo sapiens],0.009,1.673,3,1,1,1,1,298,32.4,7.53,21.0,0.0,1.0,0.0,0,16.5,12.9,11.4,16.2,16.5,12.2,13.8,13.7,19.3,23.5,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],14.275,25.112499999999997,19.4375,7.762499999999999,17.8625,12.7625,20.5625,11.5125
False,High,IsMasterProtein,NP_001007075.1,RPL32#6161#60S ribosomal protein L32 [Homo sapiens],0.008,2.008,5,1,2,1,1,135,15.9,11.33,16.0,2.22,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001010.2,RPS15A#6210#40S ribosomal protein S15a [Homo sapiens],0.009,1.49,6,1,1,1,1,130,14.8,10.13,0.0,2.18,0.0,1.0,0,42.4,22.6,12.6,23.8,171.9,11.7,191.1,34.7,134.7,183.4,High,High,High,High,High,High,High,High,High,High,0.0,29.6875,27.675,29.6875,131.59999999999997,30.375,141.8875,19.95,95.8375
False,High,IsMasterProtein,NP_001014809.1,CRMP1#1400#dihydropyrimidinase-related protein 1 isoform 1 [Homo sapiens],0.0,16.547,6,3,9,1,1,686,74.2,6.86,109.0,14.97,3.0,3.0,0,43.8,25.5,15.5,34.9,35.0,28.3,41.2,47.1,35.1,49.7,High,High,High,High,High,High,High,High,High,High,0.0,30.7625,35.35,40.0625,28.4625,34.05,29.9,46.9875,25.112499999999997
False,High,IsMasterProtein,NP_001017963.2,HSP90AA1#3320#heat shock protein HSP 90-alpha isoform 1 [Homo sapiens],0.0,48.107,15,11,26,2,1,854,98.1,5.16,258.0,36.89,10.0,11.0,0,32.4,25.8,12.2,22.3,21.5,22.3,26.9,21.5,27.9,33.2,High,High,High,High,High,High,High,High,High,High,0.0,23.8375,27.075,27.075,17.05,34.474999999999994,17.3,36.6875,19.0375
False,High,IsMasterProtein,NP_001017992.1,ACTBL2#345651#beta-actin-like protein 2 [Homo sapiens],0.0,28.22,17,4,22,1,1,376,42.0,5.59,278.0,34.69,4.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001020272.1,MBP#4155#Golli-MBP isoform 1 [Homo sapiens],0.0,16.639,12,4,15,4,1,304,33.1,9.79,85.0,19.41,4.0,3.0,0,262.6,196.6,101.8,531.9,339.1,386.3,410.8,643.6,320.6,1031.5,High,High,High,High,High,High,High,High,High,High,0.0,251.0125,233.125,560.0,292.3375,251.0125,287.0,560.0,233.125
False,High,IsMasterProtein,NP_001022.1,RPS28#6234#40S ribosomal protein S28 [Homo sapiens],0.002,3.951,16,1,2,1,1,69,7.8,10.7,42.0,2.14,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,Not Found,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001029249.1,H4C15#554313#histone H4 [Homo sapiens],0.0,13.294,20,3,8,3,1,103,11.4,11.36,48.0,13.22,3.0,3.0,0,30.6,29.0,15.2,30.2,39.1,28.6,53.9,20.2,46.4,89.6,High,High,High,High,High,High,High,High,High,High,0.0,22.525000000000002,34.7375,36.074999999999996,36.6875,37.8625,32.3375,48.5125,34.625
False,High,IsMasterProtein,NP_001035807.1,H2AC19#723790#histone H2A type 2-A [Homo sapiens],0.0,43.014,49,4,20,1,1,130,14.1,10.9,377.0,41.44,4.0,4.0,2,155.7,73.0,38.7,117.7,69.9,68.4,85.4,124.0,68.1,150.7,Not Found,Not Found,High,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,0.0,123.5375,85.9,128.60000000000002,56.5,90.1875,55.9125,110.2375,50.175
False,High,IsMasterProtein,NP_001035930.1,PSAP#5660#prosaposin isoform b preproprotein [Homo sapiens],0.002,4.011,2,1,2,1,1,527,58.4,5.14,24.0,2.78,1.0,1.0,0,25.8,16.1,11.7,18.9,51.7,10.5,57.0,20.2,45.1,94.7,High,High,High,High,High,High,High,High,High,High,0.0,19.95,25.950000000000003,23.025,38.1125,22.3625,43.15,18.049999999999997,34.05
False,Medium,IsMasterProtein,NP_001036143.1,RHOC#389#rho-related GTP-binding protein RhoC precursor [Homo sapiens],0.045,1.276,4,1,2,1,1,193,22.0,6.58,0.0,1.69,1.0,1.0,0,48.7,22.1,16.4,28.8,29.0,16.6,37.2,29.9,33.9,41.1,High,High,High,High,High,High,High,High,High,High,0.0,35.175,37.8625,35.037499999999994,25.7,29.6875,25.3,27.4125,23.8375
False,High,IsMasterProtein,NP_001036816.1,TPM3#7170#tropomyosin alpha-3 chain isoform Tpm3.2cy [Homo sapiens],0.0,6.234,8,2,4,1,1,248,28.9,4.75,48.0,6.12,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001054.2,TF#7018#serotransferrin isoform 1 precursor [Homo sapiens],0.009,1.578,1,1,2,1,1,698,77.0,7.12,20.0,2.41,1.0,1.0,0,65.5,47.3,22.2,38.9,42.5,25.8,48.8,40.1,49.5,55.3,High,High,High,High,High,High,High,High,High,High,0.0,53.6875,48.925,46.9875,33.4375,63.4,35.75,41.824999999999996,36.824999999999996
False,High,IsMasterProtein,NP_001060.1,TUBB2A#7280#tubulin beta-2A chain isoform 1 [Homo sapiens],0.0,68.507,27,10,47,3,1,445,49.9,4.89,439.0,82.67,10.0,9.0,4,193.1,170.3,84.3,147.1,154.2,130.5,183.3,151.5,207.6,247.4,High,High,High,High,High,High,High,High,High,High,0.0,170.27499999999998,203.25,161.4625,128.60000000000002,233.125,128.60000000000002,203.25,153.825
False,High,IsMasterProtein,NP_001072993.1,PAICS#10606#multifunctional protein ADE2 isoform 1 [Homo sapiens],0.006,2.315,2,1,1,1,1,432,47.9,7.69,30.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001073331.1,DBI#1622#acyl-CoA-binding protein isoform 3 [Homo sapiens],0.009,1.484,8,1,1,1,1,87,10.0,6.57,36.0,0.0,1.0,0.0,0,49.0,35.7,13.4,42.3,25.9,29.6,33.1,44.2,28.2,79.9,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],35.9625,30.7625,50.175,22.525000000000002,46.4125,22.3625,50.175,19.2875
False,High,IsMasterProtein,NP_001076.2,SERPINA3#12#alpha-1-antichymotrypsin precursor [Homo sapiens],0.007,2.597,4,1,2,1,1,423,47.6,5.52,0.0,3.41,1.0,1.0,0,10.4,2.9,9.5,8.4,14.6,8.5,12.0,6.7,16.3,18.6,High,High,High,High,High,High,High,High,High,High,0.0,8.775,20.375,9.5,6.1375,8.775,10.024999999999999,17.05,8.4875
False,High,IsMasterProtein,NP_001084.3,ACACB#32#acetyl-CoA carboxylase 2 precursor [Homo sapiens],0.002,3.969,2,1,1,1,1,2458,276.4,6.49,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001091674.1,HNRNPF#3185#heterogeneous nuclear ribonucleoprotein F [Homo sapiens],0.006,2.299,3,1,1,1,1,415,45.6,5.58,20.0,0.0,1.0,0.0,0,20.9,15.2,10.2,13.6,14.7,12.5,15.9,11.7,16.9,25.8,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],16.8125,22.3625,16.325,9.2375,20.7625,10.712499999999999,21.7875,9.5
False,High,IsMasterProtein,NP_001091974.1,DDX17#10521#probable ATP-dependent RNA helicase DDX17 isoform 3 [Homo sapiens],0.003,4.655,2,1,2,1,1,731,80.4,8.37,0.0,2.91,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001092.1,"ACTB#60#actin, cytoplasmic 1 [Homo sapiens]",0.0,90.732,39,10,51,7,1,375,41.7,5.48,638.0,97.38,10.0,10.0,4,473.7,443.0,241.3,423.7,421.8,355.6,546.9,462.1,620.1,755.6,High,High,High,High,High,High,High,High,High,High,0.0,405.8,501.3,431.38750000000005,385.825,501.3,370.6,471.2125,501.3
False,High,IsMasterProtein,NP_001092006.1,USP5#8078#ubiquitin carboxyl-terminal hydrolase 5 isoform 1 [Homo sapiens],0.008,1.6,2,1,1,1,1,858,95.7,5.03,13.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001092755.1,PTMA#5757#prothymosin alpha isoform 1 [Homo sapiens],0.007,3.049,13,1,1,1,1,111,12.2,3.78,29.0,0.0,1.0,0.0,0,43.2,19.4,10.8,24.3,28.8,18.6,32.9,22.0,34.0,48.2,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],30.375,23.387500000000003,30.375,22.275,25.474999999999998,25.112499999999997,30.375,24.0125
