level_0,index,Accession,Checked,Protein FDR Confidence: Combined,Master,Unique Sequence ID,Protein Group IDs,Description,Exp. q-value: Combined,Sum PEP Score,# Decoy Protein: Combined,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,Coverage [%] (by Search Engine): Mascot,Coverage [%] (by Search Engine): Sequest HT,# PSMs (by Search Engine): Mascot,# PSMs (by Search Engine): Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,normalized Abundances (by Bio. Rep.): Cntrol 1,normalized Abundances (by Bio. Rep.): Cntrol 2,normalized Abundances (by Bio. Rep.): Cntrol 3,normalized Abundances (by Bio. Rep.): Sample- A1,normalized Abundances (by Bio. Rep.): Sample- A2,normalized Abundances (by Bio. Rep.): Sample- A3,normalized Abundances (by Bio. Rep.): Sample- B1,normalized Abundances (by Bio. Rep.): Sample- B2,normalized Abundances (by Bio. Rep.): Sample- B3,normalized Abundances (by Bio. Rep.): Sample- C1,normalized Abundances (by Bio. Rep.): Sample- C2,normalized Abundances (by Bio. Rep.): Sample- C3
10,10,NP_002464.1,False,High,Master Protein,2962281166201317376,2863,MYH9#4627#myosin-9 [Homo sapiens],0,694.687,0,44,79,1406,66,66,1,1960,226.4,5.6,10014,2405.05,44,38,701,705,78,62,13,18645.4,17893.2,15199.7,15546.7,17064.8,15546.7,17064.8,16339.7,13878.9,16600.8,15822.8,13383.8,17976.920295327844,17122.139967738578,15048.360610174004,15317.562521842046,16579.769519649268,15546.7,16569.078907116746,15732.246033606636,13815.56338805632,16025.745587352158,15157.974381379388,13253.776304687075
11,11,NP_001104026.1,False,High,Master Protein,-4567547795878987264,1081,FLNA#2316#filamin-A isoform 2 [Homo sapiens],0,693.035,0,47,84,810,0,78,1,2647,280.6,6.06,3837,1225.28,45,46,371,439,81,82,7,12269.9,11744.8,10437.3,11456.3,13562.4,11456.3,13562.4,12663.4,11240.9,12774.0,12330.4,10863.1,11829.996370774727,11238.688970843452,10333.378566456517,11287.449524270683,13176.917756627165,11456.3,13168.421298220908,12192.618250149895,11189.601948915424,12331.506561902828,11812.314338306775,10757.564919936503
12,12,NP_005091.2,False,High,Master Protein,-8201100139023696896,243,AKAP12#9590#A-kinase anchor protein 12 isoform 1 [Homo sapiens],0,663.494,0,58,73,993,0,73,1,1782,191.4,4.41,4550,1615.71,56,54,452,541,71,64,0,12800.6,13270.7,10591.0,10626.9,12149.0,10626.9,12149.0,12740.3,9978.5,13529.6,14234.2,11062.0,12341.669577073895,12698.834354384255,10485.548216238009,10470.273766353197,11803.69063183975,10626.9,11796.079628390684,12266.65937207896,9932.962934218129,13060.93245498047,13636.122490294418,10954.532605272676
13,13,XP_005254502.1,False,High,Master Protein,6488855965708197888,3729,PKM#5315#pyruvate kinase PKM isoform X4 [Homo sapiens],0,659.459,0,77,41,2847,0,5,1,531,57.9,7.84,18334,4862.45,77,69,1318,1529,41,39,50,56097.1,52408.9,52268.8,48863.0,47841.2,48863.0,47841.2,44532.0,43969.5,48862.2,45827.8,45655.4,54085.89225755605,50150.477352022805,51748.37339296585,48142.82500497005,46481.41610469766,48863.0,46451.44495166387,42876.453078610415,43768.844389046855,47169.60544300989,43902.25613386875,45211.857521855556
14,14,NP_001367.2,False,High,Master Protein,-2305783293341844736,1619,DYNC1H1#1778#cytoplasmic dynein 1 heavy chain 1 [Homo sapiens],0,654.727,0,30,102,700,102,102,1,4646,532.1,6.4,3364,1082.75,29,29,360,340,99,97,0,8774.4,9408.9,10434.5,11018.6,8628.0,11018.6,8628.0,9218.7,10465.2,7903.5,8461.7,9519.9,8459.817941118165,9003.448390587235,10330.60644531541,10856.200634422017,8382.767534077979,11018.6,8377.36233712691,8875.980373569251,10417.441869938324,7629.721474244481,8106.165269289759,9427.414115795998
15,15,NP_004915.2,False,High,Master Protein,3453697574232543232,2984,ACTN4#81#alpha-actinin-4 isoform 1 [Homo sapiens],0,640.574,0,77,63,1668,0,45,1,911,104.8,5.44,9286,2520.79,77,72,821,847,63,58,20,27908.4,29233.9,25519.7,24989.9,31759.5,24989.9,31759.5,33438.7,28342.9,32756.3,34752.4,29715.2,26907.82082283714,27974.142557109564,25265.60710168342,24621.58243643864,30856.804067982102,24989.9,30836.907643252445,32195.563899212477,28213.556661647646,31621.616439146517,33292.21053741747,29426.5166581268
16,16,NP_733821.1,False,High,Master Protein,491541445040481152,2267,LMNA#4000#lamin isoform A [Homo sapiens],0,637.934,0,76,61,2767,0,4,1,664,74.1,7.02,13070,3834.81,75,74,1304,1463,59,54,69,53423.5,58666.5,47583.9,51319.2,62949.9,51319.2,62949.9,69295.0,56365.6,63557.8,69745.2,56655.1,51508.146856460415,56138.422664326965,47110.119702261145,50562.823915745226,61160.683587558575,51319.2,61121.24726308591,66718.84972788801,56108.37456180442,61356.147468303396,66814.7202027569,56104.69537199276
17,17,NP_005338.1,False,High,Master Protein,682895518506643584,2325,HSPA5#3309#endoplasmic reticulum chaperone BiP precursor [Homo sapiens],0,616.093,0,73,52,2721,48,49,1,654,72.3,5.16,13276,3993.22,72,73,1274,1447,51,46,3,40084.7,38870.6,39767.4,40241.5,46518.1,40241.5,46518.1,45712.7,46483.6,41136.6,40907.6,41797.7,38647.57296502773,37195.574510427374,39371.44652388098,39648.39433594954,45195.92239533992,40241.5,45166.78012687799,44013.25870489972,46271.47124808557,39711.62148382432,39188.78787595846,41391.63509992819
18,18,NP_001269554.1,False,High,Master Protein,-1099892537052863360,1885,LMNA#4000#lamin isoform C [Homo sapiens],0,606.616,0,76,58,2714,0,1,1,572,65.1,6.84,12635,3798.54,76,74,1284,1430,56,51,0,444.2,513.0,179.0,186.5,454.3,186.5,454.3,533.4,180.3,411.2,534.2,162.3,428.27442667814194,490.8936245864289,177.217744377925,183.75124047698492,441.38749313069377,186.5,441.10288708353676,513.5700186861312,179.47719767896265,396.95596510524837,511.7545513141082,160.72325455033044
19,19,NP_002853.2,False,High,Master Protein,-8210818149912646656,240,"PYGB#5834#glycogen phosphorylase, brain form [Homo sapiens]",0,600.892,0,74,70,1503,58,58,1,843,96.6,6.86,9868,2428.34,74,73,734,769,67,61,12,23078.4,23828.0,28023.9,29660.0,23143.9,29660.0,23143.9,24146.6,28292.2,21546.6,22314.3,26312.5,22250.987232437714,22801.1954905369,27744.873445097946,29222.851434570366,22486.084090397235,29660.0,22471.58509437083,23248.91228572654,28163.088032017455,20800.222270760565,21376.721423415205,26056.87390853709
20,20,XP_011522180.1,False,High,Master Protein,7563214759205697536,3982,MYH10#4628#myosin-10 isoform X1 [Homo sapiens],0,595.936,0,39,68,1135,0,57,1,2016,233.3,5.62,8026,1903.21,37,33,563,572,66,53,1,12920.4,12104.5,9708.3,9566.3,11899.0,9566.3,11899.0,11296.9,9053.9,11585.5,10896.4,8673.3,12457.17447647966,11582.888652644111,9611.637026503962,9425.30558592483,11560.796347704436,9566.3,11553.341962154973,10876.92003017502,9012.5823630924,11184.176395250135,10438.56662848942,8589.038839749728
21,21,NP_001258898.1,False,High,Master Protein,-2220837361715177216,1638,HSP90AB1#3326#heat shock protein HSP 90-beta isoform a [Homo sapiens],0,593.239,0,67,50,3487,0,30,1,724,83.2,5.03,13508,5581.42,67,63,1601,1886,50,42,23,45755.2,45825.0,50403.0,50918.0,42287.8,50918.0,42287.8,42383.7,46361.5,39637.1,39521.9,43547.7,44114.77273197596,43850.29307343686,49901.150669723764,50167.537064917524,41085.859634629436,50918.0,41059.36752897025,40808.01949941391,46149.928453650726,38264.06440776566,37861.31074799897,43124.63383968838
22,22,NP_001952.1,False,High,Master Protein,3819136565778514944,3072,EEF2#1938#elongation factor 2 [Homo sapiens],0,587.683,0,67,51,1910,50,50,1,858,95.3,6.83,11039,3019.65,67,66,895,1015,51,48,1,41114.4,41922.4,40417.8,40476.7,37942.9,40476.7,37942.9,38592.7,36833.4,33829.0,34805.5,33419.2,39640.355894227374,40115.86527750899,40015.370663229594,39880.127803832576,36864.45413407132,40476.7,36840.683984860065,37157.95586829444,36665.310110861355,32657.157936637763,33343.07943796928,33094.532276453494
23,23,XP_016877802.1,False,High,Master Protein,-3449706356717901824,1323,PKM#5315#pyruvate kinase PKM isoform X5 [Homo sapiens],0,561.517,0,71,39,2599,0,3,1,531,58.0,7.71,16916,4278.48,71,63,1214,1385,39,36,0,1434.0,153.0,268.9,229.2,1333.0,229.2,1333.0,129.6,219.1,1302.3,138.0,224.0,1382.5878610005752,146.40687049068933,266.22263387275996,225.82189982479863,1295.1123230094977,229.2,1294.277236368819,124.78191680112975,218.10013317504556,1257.1881161395063,132.20166245104252,221.82383868930387
24,24,NP_009057.1,False,High,Master Protein,-6896953880380314624,525,VCP#7415#transitional endoplasmic reticulum ATPase isoform 1 [Homo sapiens],0,558.759,0,76,54,1620,3,54,1,806,89.3,5.26,8857,2601.29,76,68,771,849,54,47,0,30516.6,28886.6,27939.1,26789.0,28127.5,26789.0,28127.5,26863.6,26469.2,28433.4,27325.8,26506.4,29422.510961652828,27641.8085301722,27660.917776252983,26394.166118702142,27328.03590806425,26789.0,27310.41482818001,25864.90355076257,26348.40732559067,27448.462398403623,26177.65353481665,26248.89016890252
25,25,NP_003290.1,False,High,Master Protein,-8293079878251606016,219,HSP90B1#7184#endoplasmin precursor [Homo sapiens],0,540.241,0,71,59,2457,57,57,1,803,92.4,4.84,10608,3401.53,71,63,1165,1292,59,51,2,43212.6,42647.5,44596.5,41138.6,47689.6,41138.6,47689.6,46625.5,49971.0,44645.9,43807.9,46562.3,41663.33068498846,40809.71901471682,44152.464453352695,40532.272286790845,46334.125010798,41138.6,46304.24883085854,44892.12393372743,49742.95643491649,43099.35876092512,41967.22614847121,46109.94698304899
26,26,XP_011541100.1,False,High,Master Protein,-772083225745130752,1971,HSPA8#3312#heat shock cognate 71 kDa protein isoform X1 [Homo sapiens],0,535.529,0,80,48,2339,9,39,1,646,70.9,5.52,10260,3260.34,80,78,1061,1278,48,46,6,43736.4,41527.0,47141.4,46560.9,39888.0,46560.9,39888.0,37439.0,41888.3,38765.7,36773.9,41399.5,42168.35127187278,39737.50399259383,46672.02555763974,45874.65486715736,38754.26882235772,46560.9,38729.2801232404,36047.146474672045,41697.14198300439,37422.84984552657,35228.77329571299,40997.30361525819
27,27,NP_006827.1,False,High,Master Protein,-5866289401045489664,770,GCN1#10985#eIF-2-alpha kinase activator GCN1 [Homo sapiens],0,533.25,0,38,77,653,77,77,1,2671,292.5,7.43,3450,1015.6,35,36,313,340,73,70,0,9107.6,8933.8,11627.6,11035.0,8273.4,11035.0,8273.4,7994.2,10729.9,7903.0,7717.9,10079.9,8781.071968513836,8548.821565945884,11511.827064406485,10872.358920447876,8038.246281460448,11035.0,8033.063231338175,7697.003080953637,10680.933906686085,7629.238794325822,7393.617468339863,9981.973712519259
28,28,NP_001348.2,False,High,Master Protein,7054273267636823040,3854,DHX9#1660#ATP-dependent RNA helicase A [Homo sapiens],0,523.236,0,48,51,974,51,51,1,1270,140.9,6.84,6291,1618.59,48,45,491,483,51,45,0,12381.4,13556.5,12207.7,12672.4,13003.0,12672.4,13003.0,14191.3,13057.9,13392.4,14409.4,12914.4,11937.49884392784,12972.318560830261,12086.151162248017,12485.62584354179,12633.417506445985,12672.4,12625.271496251878,13663.716172066917,12998.310036451061,12928.48508530041,13803.961122623567,12788.936528433687
29,29,NP_001419.1,False,High,Master Protein,5579729439990208512,3523,ENO1#2023#alpha-enolase isoform 1 [Homo sapiens],0,512.817,0,72,33,3676,5,30,1,434,47.1,7.39,15112,5854.93,71,72,1679,1997,32,30,4,60020.2,60428.7,65880.3,63647.8,56577.2,63647.8,56577.2,57363.7,62621.9,57985.7,59014.6,64077.5,57868.34026138544,57824.68532562561,65224.34729017325,62709.716909549825,54969.11396952209,63647.8,54933.66996060461,55231.114512384,62336.123823251415,55977.06591878259,56534.987165820974,63454.98671256191
30,30,XP_016860269.1,False,High,Master Protein,5950667386624240640,3608,"SPTBN1#6711#spectrin beta chain, non-erythrocytic 1 isoform X1 [Homo sapiens]",0,512.358,0,43,79,533,0,73,1,2364,274.4,5.57,2840,769.35,43,41,262,271,79,73,6,10319.9,9004.7,7088.0,6362.7,9631.1,6362.7,9631.1,8050.7,6369.4,9370.8,7922.4,6245.0,9949.908275271853,8616.66631834974,7017.426660059958,6268.922347361458,9357.356559742515,6362.7,9351.322949131083,7751.402604867711,6340.333127545116,9046.193963541491,7589.525004363329,6184.3297884584945
31,31,NP_005339.3,False,High,Master Protein,-7065009906831581184,479,HSP90AA1#3320#heat shock protein HSP 90-alpha isoform 2 [Homo sapiens],0,502.605,0,70,50,2948,1,32,1,732,84.6,5.02,10321,4657.0,70,59,1377,1571,50,39,0,12065.9,15517.2,14442.3,14112.3,11457.6,14112.3,11457.6,14410.9,13268.6,10457.1,13310.3,12337.8,11633.310231552889,14848.527390706697,14298.501841504503,13904.303651385278,11131.942199635125,14112.3,11124.764338649198,13875.152197757721,13208.048503178501,10094.864354820265,12751.0419400153,12217.938200807559
32,32,XP_005271449.1,False,High,Master Protein,-2642413420324570624,1527,HYOU1#10525#hypoxia up-regulated protein 1 isoform X1 [Homo sapiens],0,470.492,0,51,43,991,0,42,1,1000,111.3,5.22,5655,1615.45,51,51,469,522,43,40,1,13172.2,16357.5,14247.3,12343.3,13982.8,12343.3,13982.8,17181.3,15260.0,13629.0,16922.6,14730.2,12699.946877734852,15652.616889225168,14105.44340489168,12161.376335547282,13585.36878482911,12343.3,13576.608957762883,16542.558234068292,15190.360713150138,13156.8892228099,16211.564152130522,14587.096020808856
33,33,XP_016885266.1,False,High,Master Protein,-8490614885601303552,180,UBA1#7317#ubiquitin-like modifier-activating enzyme 1 isoform X1 [Homo sapiens],0,469.502,0,60,46,1217,0,46,1,1109,123.1,5.85,8011,1932.67,58,59,551,666,45,44,0,15349.7,12574.4,14278.8,14440.0,14444.1,14440.0,14444.1,11780.7,13456.1,13948.6,11346.2,13065.0,14799.378584379729,12032.539557504078,14136.629767729135,14227.17379349953,14033.557317915593,14440.0,14024.50849950102,11342.734006628622,13394.69284352684,13465.418226816799,10869.46740943492,12938.073448552477
34,34,NP_004095.4,False,High,Master Protein,-6252367434931230720,666,FASN#2194#fatty acid synthase [Homo sapiens],0,460.858,0,37,66,586,66,66,1,2511,273.3,6.44,3291,920.07,36,36,282,304,64,65,0,7779.3,7821.3,9231.6,8391.3,6929.1,8391.3,6929.1,6829.3,8071.0,6986.8,7086.3,8126.4,7500.394523766929,7484.261805025023,9139.683402230461,8267.623507852673,6732.1551368080345,8391.3,6727.814252455502,6575.410064891632,8034.167845074362,6744.7761113748775,6788.555366861035,8047.451976449816
35,35,NP_001605.1,False,High,Master Protein,6980118088250601472,3836,"ACTG1#71#actin, cytoplasmic 2 [Homo sapiens]",0,452.043,0,83,25,3533,1,1,1,375,41.8,5.48,24969,5726.65,83,79,1712,1821,25,24,0,3016.2,1344.6,1039.7,1009.0,3163.5,1009.0,3163.5,1427.2,1139.3,3119.5,1459.3,1156.6,2908.062417259369,1286.6580265475873,1029.3479822889867,994.1286951274949,3073.5842714482715,1009.0,3071.602428546706,1374.1416023037993,1134.1007837805996,3011.440012514159,1397.9846812667129,1145.363624232361
36,36,NP_001093.1,False,High,Master Protein,-1518063030880019968,1795,ACTN1#87#alpha-actinin-1 isoform b [Homo sapiens],0,450.937,0,71,50,1071,0,32,1,892,103.0,5.41,6057,1569.28,69,67,524,547,49,45,0,6881.1,7018.3,6259.4,6166.2,7377.1,6166.2,7377.1,7558.9,6707.8,8069.5,8278.2,7380.4,6634.397022546066,6715.864961861471,6197.07681094516,6075.318493454072,7167.421693978519,6166.2,7162.800150349899,7277.886040957251,6677.188833005799,7789.971207239304,7930.375377552322,7308.699370814903
37,37,NP_001092.1,False,High,Master Protein,-174490317750568224,2100,"ACTB#60#actin, cytoplasmic 1 [Homo sapiens]",0,447.673,0,83,25,3461,1,1,1,375,41.7,5.48,24131,5726.65,83,79,1640,1821,25,24,36,44543.2,44670.9,44413.3,46037.2,45927.7,45398.0,54810.4,53502.5,52601.8,54852.2,53719.8,53205.3,42946.22566954032,42745.92595426493,43971.08852726311,45358.67350180724,44622.30325392596,45398.0,53218.19432578359,51513.46067633059,52361.750731388005,52952.11086854598,51462.6584531704,52688.41019917866
38,38,XP_016884680.1,False,High,Master Protein,-8775397801672845312,104,HUWE1#10075#E3 ubiquitin-protein ligase HUWE1 isoform X1 [Homo sapiens],0,441.813,0,24,64,445,0,64,1,4501,494.0,5.24,1968,767.85,22,23,204,241,60,63,0,5463.3,6840.8,6683.3,5436.0,6705.0,6653.0,5311.5,6692.7,6459.4,5079.4,6314.4,6395.6,5267.428354954284,6546.013853939266,6616.756150843498,5355.880660766166,6514.424700509138,6653.0,5157.204456843948,6443.888384065749,6429.92241091232,4903.448757674121,6049.088241890311,6333.466708577285
39,39,NP_002037.2,False,High,Master Protein,562319574892213760,2291,GAPDH#2597#glyceraldehyde-3-phosphate dehydrogenase isoform 1 [Homo sapiens],0,436.172,0,87,25,2074,1,25,1,335,36.0,8.46,10417,3135.03,83,87,916,1158,24,24,0,38264.4,37286.9,43240.0,36867.9,36404.2,41705.2,34335.1,33755.6,37944.1,34229.8,33346.6,38731.4,36892.534831569326,35680.119864701206,42809.47076481272,36324.516669069344,35369.488394075284,41705.2,33337.688175879244,32500.68264484734,37770.94141126082,33044.0741594349,31945.477949927063,38355.124222370105
40,40,NP_001244957.1,False,High,Master Protein,3125798911978513920,2908,TKT#7086#transketolase isoform 2 [Homo sapiens],0,431.727,0,73,39,1082,0,39,1,631,68.8,7.52,5485,1672.5,71,72,497,585,37,34,0,24305.6,19700.4,20391.3,24862.2,19793.3,20791.0,23307.4,18693.5,20205.9,22907.0,18242.7,19198.2,23434.189340540852,18851.46347329919,20188.269223092637,24495.76456293241,19230.717736702092,20791.0,22630.335528088985,17998.539828101228,20113.690008770667,22113.49779344826,17476.197591272707,19011.68937466515
41,41,NP_000173.2,False,High,Master Protein,454806171855366464,2254,"HADHA#3030#trifunctional enzyme subunit alpha, mitochondrial precursor [Homo sapiens]",0,429.944,0,69,45,725,45,45,1,763,82.9,9.04,4488,1062.57,66,67,373,352,44,39,0,10071.5,10902.8,12468.4,10105.7,10902.5,12480.9,11481.1,12318.0,14163.4,12690.4,13993.0,15765.8,9710.413976337026,10432.972729319526,12344.255441350391,9956.75555436068,10592.61973114107,12480.9,11147.581679275356,11860.059036699971,14098.765067144866,12250.802479503025,13405.056975923466,15612.635160749227
42,42,NP_001677.2,False,High,Master Protein,2402053168044673024,2733,"ATP5F1B#506#ATP synthase subunit beta, mitochondrial precursor [Homo sapiens]",0,423.896,0,74,26,1198,26,26,1,529,56.5,5.4,9795,2263.29,74,74,564,634,26,26,0,13484.6,13089.5,19032.4,14233.8,14027.7,20355.9,15386.7,15083.1,22388.7,15711.4,15246.9,22489.6,13001.146632111826,12525.442688156067,18842.89943071743,14024.012904564654,13628.992598259812,20355.9,14939.72659627615,14522.362108820373,22286.52876136989,15167.15454804134,14606.271936411596,22271.113404406107
43,43,NP_003861.1,False,High,Master Protein,8705476780399299584,4242,IQGAP1#8826#ras GTPase-activating-like protein IQGAP1 [Homo sapiens],0,419.852,0,47,51,467,48,51,1,1657,189.1,6.48,2190,785.35,47,46,232,235,51,48,0,5029.2,5023.5,4087.8,5019.1,5076.6,4206.3,4710.1,4613.7,3786.1,4450.5,4454.1,3666.6,4848.891820463105,4807.025581110966,4047.0988573635855,4945.125206852736,4932.308491365354,4206.3,4573.274726947318,4442.178468714293,3768.822063961844,4296.333955984698,4266.952353066584,3630.9789595455427
