,Checked,Protein FDR Confidence: Combined,Master,Unique Sequence ID,Protein Group IDs,Accession,Description,Exp. q-value: Combined,Sum PEP Score,# Decoy Protein: Combined,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,Coverage [%] (by Search Engine): Mascot,Coverage [%] (by Search Engine): Sequest HT,# PSMs (by Search Engine): Mascot,# PSMs (by Search Engine): Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,normalized Abundances (by Bio. Rep.): Cntrol 1,normalized Abundances (by Bio. Rep.): Cntrol 2,normalized Abundances (by Bio. Rep.): Cntrol 3,normalized Abundances (by Bio. Rep.): Sample- A1,normalized Abundances (by Bio. Rep.): Sample- A2,normalized Abundances (by Bio. Rep.): Sample- A3,normalized Abundances (by Bio. Rep.): Sample- B1,normalized Abundances (by Bio. Rep.): Sample- B2,normalized Abundances (by Bio. Rep.): Sample- B3,average_normalized  (by Bio. Rep.): Sample- A,P VALUE of  (by Bio. Rep.): Sample- A,average_normalized  (by Bio. Rep.): Sample- B,P VALUE of  (by Bio. Rep.): Sample- B,average_normalized_of_CONTROL
10,False,High,Master Protein,-7.679085377781864e+18,347,XP_006717309.1,"SPTAN1#6709#spectrin alpha chain, non-erythrocytic 1 isoform X2 [Homo sapiens]",0,697.561,0,50,90,876,0,2,1,2505,288.4,5.41,4593,1397.09,47,48,422,454,83,82,90,13405.7,12823.2,11888.1,12844.1,12274.9,11202.1,12632.5,12168.6,11120.4,12569.8,11969.2,11121.3,12683.551144846397,11596.922480903808,11113.030446191122,12603.782087422609,11322.714790062979,10647.952489634037,12632.5,11412.472641677241,10289.212611432182,11524.816455706541,0.7309428322126839,11444.72841770314,0.6918643892693452,11797.834690647107
11,False,High,Master Protein,2.9622811662013174e+18,2863,NP_002464.1,MYH9#4627#myosin-9 [Homo sapiens],0,694.687,0,44,79,1406,66,66,1,1960,226.4,5.6,10014,2405.05,44,38,701,705,78,62,13,18645.4,17893.2,15199.7,18995.2,18502.7,15546.7,17064.8,16339.7,13878.9,16600.8,15822.8,13383.8,17640.994839219064,16182.080396103003,14208.723755097215,18639.792706924574,17067.41357942617,14777.633030466919,17064.8,15324.390580938942,12841.53024286951,16828.279772272555,0.614756778735721,15076.906941269486,0.5871916528818701,16010.599663473093
12,False,High,Master Protein,-4.5675477958789873e+18,1081,NP_001104026.1,FLNA#2316#filamin-A isoform 2 [Homo sapiens],0,693.035,0,47,84,810,0,78,1,2647,280.6,6.06,3837,1225.28,45,46,371,439,81,82,7,12269.9,11744.8,10437.3,13417.6,12981.1,11456.3,13562.4,12663.4,11240.9,12774.0,12330.4,10863.1,11608.93531797301,10621.649444266566,9756.818387802137,13166.55168802809,11974.133635409376,10889.577678024156,13562.4,11876.526966998304,10400.705913802381,12010.087667153874,0.19002509166039272,11946.54429360023,0.3063510279818988,10662.46771668057
13,False,High,Master Protein,-1.0629778157815592e+18,1894,XP_006717310.1,"SPTAN1#6709#spectrin alpha chain, non-erythrocytic 1 isoform X4 [Homo sapiens]",0,686.499,0,51,89,871,0,1,1,2490,286.7,5.4,4572,1386.17,47,48,419,452,81,81,0,0.0,41.5,0.0,0.0,34.5,0.0,0.0,39.6,0.0,0.0,39.8,0.0,0.0,37.53137149522023,0.0,0.0,31.82377536738978,0.0,0.0,37.13935182440205,0.0,10.607925122463259,0.913391723322242,12.37978394146735,0.9944317351774489,12.51045716507341
14,False,High,Master Protein,-8.201100139023697e+18,243,NP_005091.2,AKAP12#9590#A-kinase anchor protein 12 isoform 1 [Homo sapiens],0,663.494,0,58,73,993,0,73,1,1782,191.4,4.41,4550,1615.71,56,54,452,541,71,64,0,12800.6,13270.7,10591.0,12559.4,13067.1,10626.9,12149.0,12740.3,9978.5,13529.6,14234.2,11062.0,12111.047150445018,12001.628233773954,9900.497594704804,12324.408930853506,12053.462466759971,10101.20658734451,12149.0,11948.648587081549,9232.663217436066,11493.025994985996,0.8845559612991251,11110.103934839206,0.8575271682963578,11337.724326307924
15,False,High,Master Protein,6.488855965708198e+18,3729,XP_005254502.1,PKM#5315#pyruvate kinase PKM isoform X4 [Homo sapiens],0,659.459,0,77,41,2847,0,5,1,531,57.9,7.84,18334,4862.45,77,69,1318,1529,41,39,50,56097.1,52408.9,52268.8,53003.5,49522.3,48863.0,47841.2,44532.0,43969.5,48862.2,45827.8,45655.4,53075.21702914154,47397.05772423729,48861.02621830861,52011.78470042309,45680.76959062281,46445.836271858665,47841.2,41764.88927889575,40683.027042045906,48046.13018763485,0.5459837179670517,43429.70544031388,0.09088121141381185,49777.76699056247
16,False,High,Master Protein,-2.3057832933418447e+18,1619,NP_001367.2,DYNC1H1#1778#cytoplasmic dynein 1 heavy chain 1 [Homo sapiens],0,654.727,0,30,102,700,102,102,1,4646,532.1,6.4,3364,1082.75,29,29,360,340,99,97,0,8774.4,9408.9,10434.5,9093.6,9671.7,11018.6,8628.0,9218.7,10465.2,7903.5,8461.7,9519.9,8301.73367786391,8509.13063280428,9754.200939660775,8923.455344491731,8921.449513645906,10473.529900847305,8628.0,8645.87228948523,9682.985128337117,9439.47825299498,0.44407587192679043,8985.619139274117,0.8313317966531973,8855.021750109654
17,False,High,Master Protein,3.453697574232543e+18,2984,NP_004915.2,ACTN4#81#alpha-actinin-4 isoform 1 [Homo sapiens],0,640.574,0,77,63,1668,0,45,1,911,104.8,5.44,9286,2520.79,77,72,821,847,63,58,20,27908.4,29233.9,25519.7,27745.6,28750.7,24989.9,31759.5,33438.7,28342.9,32756.3,34752.4,29715.2,26405.008225667527,26438.273762749846,23855.889761834405,27226.469451716563,26520.458505948212,23753.695103659637,31759.5,31360.900097238195,26224.42754977889,25833.54102044147,0.8544420324095092,29781.60921567236,0.12667880874120635,25566.390583417262
18,False,High,Master Protein,4.9154144504048115e+17,2267,NP_733821.1,LMNA#4000#lamin isoform A [Homo sapiens],0,637.934,0,76,61,2767,0,4,1,664,74.1,7.02,13070,3834.81,75,74,1304,1463,59,54,69,53423.5,58666.5,47583.9,57552.8,62694.4,51319.2,62949.9,69295.0,56365.6,63557.8,69745.2,56655.1,50545.64062948607,53056.24592347801,44481.56807635482,56475.96559673437,57831.08702589223,48780.53252568956,62949.9,64989.17638060454,52152.58824960809,54362.528382772056,0.25888035435226836,60030.55487673755,0.09873515741473446,49361.1515431063
19,False,High,Master Protein,6.828955185066436e+17,2325,NP_005338.1,HSPA5#3309#endoplasmic reticulum chaperone BiP precursor [Homo sapiens],0,616.093,0,73,52,2721,48,49,1,654,72.3,5.16,13276,3993.22,72,73,1274,1447,51,46,3,40084.7,38870.6,39767.4,40403.3,39258.7,40241.5,46518.1,45712.7,46483.6,41136.6,40907.6,41797.7,37925.385662503584,35153.41997209897,37174.681148868265,39647.33915282207,36213.334783065075,38250.82619433928,46518.1,42872.223437963214,43009.21219963032,38037.16671007548,0.37894463437117193,44133.17854586451,0.009564171201010968,36751.16226115694
20,False,High,Master Protein,-1.0998925370528634e+18,1885,NP_001269554.1,LMNA#4000#lamin isoform C [Homo sapiens],0,606.616,0,76,58,2714,0,1,1,572,65.1,6.84,12635,3798.54,76,74,1284,1430,56,51,0,444.2,513.0,179.0,454.8,536.5,186.5,454.3,533.4,180.3,411.2,534.2,162.3,420.2714829170255,463.94201390477053,167.3297204656935,446.2905219797263,494.88276766969904,177.27418424373536,454.3,500.25581472565784,166.82358852570255,372.8158246310536,0.8770988208140036,373.79313441712014,0.8755920463727509,350.51440576249655
21,False,High,Master Protein,-8.210818149912647e+18,240,NP_002853.2,"PYGB#5834#glycogen phosphorylase, brain form [Homo sapiens]",0,600.892,0,74,70,1503,58,58,1,843,96.6,6.86,9868,2428.34,74,73,734,769,67,61,12,23078.4,23828.0,28023.9,24195.1,25130.3,29660.0,23143.9,24146.6,28292.2,21546.6,22314.3,26312.5,21835.194487510766,21549.337831038738,26196.82320312038,23742.400634018635,23180.899191742476,28192.773751577428,23143.9,22646.188706139048,26177.517089777488,25038.69119244618,0.44615899988676444,23989.201931972184,0.6935997587034797,23193.785173889963
22,False,High,Master Protein,7.563214759205698e+18,3982,XP_011522180.1,MYH10#4628#myosin-10 isoform X1 [Homo sapiens],0,595.936,0,39,68,1135,0,57,1,2016,233.3,5.62,8026,1903.21,37,33,563,572,66,53,1,12920.4,12104.5,9708.3,12765.1,12143.0,9566.3,11899.0,11296.9,9053.9,11585.5,10896.4,8673.3,12224.393669250645,10946.951476238391,9075.34706814018,12526.260206955594,11201.046501049685,9093.07254011177,11899.0,10594.937970330491,8377.171869954842,10940.126416039018,0.8946249301939857,10290.369946761777,0.7558851821522594,10748.897404543073
23,False,High,Master Protein,-2.2208373617151772e+18,1638,NP_001258898.1,HSP90AB1#3326#heat shock protein HSP 90-beta isoform a [Homo sapiens],0,593.239,0,67,50,3487,0,30,1,724,83.2,5.03,13508,5581.42,67,63,1601,1886,50,42,23,45755.2,45825.0,50403.0,45942.1,45992.1,50918.0,42287.8,42383.7,46361.5,39637.1,39521.9,43547.7,43290.42268159632,41442.77346430041,47116.87095325335,45082.50613422335,42424.41330650804,48399.179159906256,42287.8,39750.07944242194,42896.23848826599,45302.03286687921,0.6038799351096239,41644.70597689598,0.31304891109741945,43950.02236638335
24,False,High,Master Protein,3.819136565778515e+18,3072,NP_001952.1,EEF2#1938#elongation factor 2 [Homo sapiens],0,587.683,0,67,51,1910,50,50,1,858,95.3,6.83,11039,3019.65,67,66,895,1015,51,48,1,41114.4,41922.4,40417.8,41625.0,42485.2,40476.7,37942.9,38592.7,36833.4,33829.0,34805.5,33419.2,38899.61696813092,37913.37755111375,37782.676959990546,40846.18068910753,39189.54960111966,38474.391278168376,37942.9,36194.64300892931,34080.31040267672,39503.37385613185,0.19707207719447023,36072.617803868685,0.18982810271032635,38198.557159745076
25,False,High,Master Protein,-3.449706356717902e+18,1323,XP_016877802.1,PKM#5315#pyruvate kinase PKM isoform X5 [Homo sapiens],0,561.517,0,71,39,2599,0,3,1,531,58.0,7.71,16916,4278.48,71,63,1214,1385,39,36,0,1434.0,153.0,268.9,1336.4,136.6,229.2,1333.0,129.6,219.1,1302.3,138.0,224.0,1356.7521533161066,138.3686708137035,251.36850186159205,1311.3954564065662,126.00370188943315,217.86189291508921,1333.0,121.54696960713396,202.72350663328575,551.7536837370295,0.9581101086526984,552.4234920801399,0.9595664353006121,582.1631086638007
26,False,High,Master Protein,-6.896953880380315e+18,525,NP_009057.1,VCP#7415#transitional endoplasmic reticulum ATPase isoform 1 [Homo sapiens],0,558.759,0,76,54,1620,3,54,1,806,89.3,5.26,8857,2601.29,76,68,771,849,54,47,0,30516.6,28886.6,27939.1,29379.9,27917.7,26789.0,28127.5,26863.6,26469.2,28433.4,27325.8,26506.4,28872.707644272174,26124.18592370671,26117.55191655339,28830.19108775761,25752.075755773265,25463.796899224806,28127.5,25194.360900757747,24490.776092093874,26682.021247585228,0.81397879173867,25937.545664283873,0.4895303135559384,27038.148494844092
27,False,High,Master Protein,-8.293079878251606e+18,219,NP_003290.1,HSP90B1#7184#endoplasmin precursor [Homo sapiens],0,540.241,0,71,59,2457,57,57,1,803,92.4,4.84,10608,3401.53,71,63,1165,1292,59,51,2,43212.6,42647.5,44596.5,40011.4,38733.5,41138.6,47689.6,46625.5,49971.0,44645.9,43807.9,46562.3,40884.78947028423,38569.136526323,41688.937870102236,39262.7717483281,35728.87545486354,39103.548289165316,47689.6,43728.30425476408,46235.94865345469,38031.731830785655,0.19158124255507872,45884.61763607292,0.02248243855003389,40380.95462223649
28,False,High,Master Protein,-7.720832257451308e+17,1971,XP_011541100.1,HSPA8#3312#heat shock cognate 71 kDa protein isoform X1 [Homo sapiens],0,535.529,0,80,48,2339,9,39,1,646,70.9,5.52,10260,3260.34,80,78,1061,1278,48,46,6,43736.4,41527.0,47141.4,43944.2,41279.9,46560.9,39888.0,37439.0,41888.3,38765.7,36773.9,41399.5,41380.372997416016,37555.789495952056,44067.91778972874,43121.98759010881,38077.74680545836,44257.61697133586,39888.0,35112.63113519667,38757.38504293503,41819.11712230101,0.7753998507176627,37919.3387260439,0.2688571396831134,41001.360094365606
29,False,High,Master Protein,-5.86628940104549e+18,770,NP_006827.1,GCN1#10985#eIF-2-alpha kinase activator GCN1 [Homo sapiens],0,533.25,0,38,77,653,77,77,1,2671,292.5,7.43,3450,1015.6,35,36,313,340,73,70,0,9107.6,8933.8,11627.6,8724.1,8572.5,11035.0,8273.4,7994.2,10729.9,7903.0,7717.9,10079.9,8616.984596612116,8079.464256963818,10869.514288753619,8560.868827623857,7907.516357592722,10489.118622678925,8273.4,7497.459756430172,9927.900291303025,8985.834602631834,0.869065679094047,8566.253349244398,0.6074432667797229,9188.654380776517
30,False,High,Master Protein,7.054273267636823e+18,3854,NP_001348.2,DHX9#1660#ATP-dependent RNA helicase A [Homo sapiens],0,523.236,0,48,51,974,51,51,1,1270,140.9,6.84,6291,1618.59,48,45,491,483,51,45,0,12381.4,13556.5,12207.7,12794.6,13942.2,12672.4,13003.0,14191.3,13057.9,13392.4,14409.4,12914.4,11714.428947746193,12260.097293372362,11411.793455469535,12555.208250927453,12860.67944716585,12045.519423111591,13003.0,13309.48695822315,12081.89537775802,12487.135707068299,0.11461509542782741,12798.127445327054,0.09663992417852121,11795.439898862698
31,False,High,Master Protein,5.579729439990209e+18,3523,NP_001419.1,ENO1#2023#alpha-enolase isoform 1 [Homo sapiens],0,512.817,0,72,33,3676,5,30,1,434,47.1,7.39,15112,5854.93,71,72,1679,1997,32,30,4,60020.2,60428.7,65880.3,58056.9,58781.1,63647.8,56577.2,57363.7,62621.9,57985.7,59014.6,64077.5,56786.98437410278,54649.92743790878,61585.095995508535,56970.63369728402,54221.34847095871,60499.25910942852,56577.2,53799.25849114777,57941.26499333162,57230.413759223746,0.8793332534158942,56105.9078281598,0.5544519046660203,57674.0026025067
32,False,High,Master Protein,5.950667386624241e+18,3608,XP_016860269.1,"SPTBN1#6711#spectrin beta chain, non-erythrocytic 1 isoform X1 [Homo sapiens]",0,512.358,0,43,79,533,0,73,1,2364,274.4,5.57,2840,769.35,43,41,262,271,79,73,6,10319.9,9004.7,7088.0,9463.8,7852.2,6362.7,9631.1,8050.7,6369.4,9370.8,7922.4,6245.0,9763.9794609532,8143.58411814481,6625.883009278411,9286.72876409792,7243.091273617913,6047.9488047593295,9631.1,7550.448983149332,5893.3231544958935,7525.92294749172,0.6448085383566395,7691.624045881742,0.748228235169819,8177.815529458807
33,False,High,Master Protein,-7.065009906831581e+18,479,NP_005339.3,HSP90AA1#3320#heat shock protein HSP 90-alpha isoform 2 [Homo sapiens],0,502.605,0,70,50,2948,1,32,1,732,84.6,5.02,10321,4657.0,70,59,1377,1571,50,39,0,12065.9,15517.2,14442.3,12209.4,15565.2,14112.3,11457.6,14410.9,13268.6,10457.1,13310.3,12337.8,11415.924551392476,14033.29633170196,13500.704032858575,11980.957561695845,14357.780531840446,13414.190189291508,11457.6,13515.441545613015,12276.846737172138,13250.976094275931,0.8126516611916014,12416.62942759505,0.6027010000697733,12983.308305317672
34,False,High,Master Protein,-2.6424134203245706e+18,1527,XP_005271449.1,HYOU1#10525#hypoxia up-regulated protein 1 isoform X1 [Homo sapiens],0,470.492,0,51,43,991,0,42,1,1000,111.3,5.22,5655,1615.45,51,51,469,522,43,40,1,13172.2,16357.5,14247.3,11774.1,14320.3,12343.3,13982.8,17181.3,15260.0,13629.0,16922.6,14730.2,12462.629507608382,14793.238776700358,13318.417465870809,11553.80218742633,13209.44957662701,11732.699401478276,13982.8,16113.695593449465,14119.400781487635,12165.317055177205,0.19338893103836,14738.632124979034,0.27825030709045934,13524.761916726517
35,False,High,Master Protein,-8.490614885601304e+18,180,XP_016885266.1,UBA1#7317#ubiquitin-like modifier-activating enzyme 1 isoform X1 [Homo sapiens],0,469.502,0,60,46,1217,0,46,1,1109,123.1,5.85,8011,1932.67,58,59,551,666,45,44,0,15349.7,12574.4,14278.8,15272.5,12529.4,14440.0,14444.1,11780.7,13456.1,13948.6,11346.2,13065.0,14522.830214613838,11371.915126011982,13347.86375746114,14986.745815601076,11557.47278516445,13725.679466378222,14444.1,11048.675809033666,12450.332166171413,13423.299355714582,0.8136220975766681,12647.702658401693,0.7640252462022851,13080.869699362322
36,False,High,Master Protein,-6.252367434931231e+18,666,NP_004095.4,FASN#2194#fatty acid synthase [Homo sapiens],0,460.858,0,37,66,586,66,66,1,2511,273.3,6.44,3291,920.07,36,36,282,304,64,65,0,7779.3,7821.3,9231.6,7371.7,7241.6,8391.3,6929.1,6829.3,8071.0,6986.8,7086.3,8126.4,7360.2385120585695,7073.352189772674,8629.726522073162,7233.772737198655,6679.856571028691,7976.1976527852885,6929.1,6404.9438235956795,7467.738119750112,7296.6089870042115,0.5568891426244804,6933.927314448597,0.26647619910565223,7687.772407968136
37,False,High,Master Protein,6.980118088250601e+18,3836,NP_001605.1,"ACTG1#71#actin, cytoplasmic 2 [Homo sapiens]",0,452.043,0,83,25,3533,1,1,1,375,41.8,5.48,24969,5726.65,83,79,1712,1821,25,24,0,3016.2,1344.6,1039.7,2952.4,1326.7,1009.0,3163.5,1427.2,1139.3,3119.5,1459.3,1156.6,2853.720951765719,1216.0164364451352,971.9145830624667,2897.159492288795,1223.7855878236528,959.0866053722733,3163.5,1338.5172455501668,1054.1437293806594,1693.3438951615735,0.9886710799927533,1852.0536583102755,0.8561251973172965,1680.5506570911068
38,False,High,Master Protein,-1.51806303088002e+18,1795,NP_001093.1,ACTN1#87#alpha-actinin-1 isoform b [Homo sapiens],0,450.937,0,71,50,1071,0,32,1,892,103.0,5.41,6057,1569.28,69,67,524,547,49,45,0,6881.1,7018.3,6259.4,6687.1,6789.1,6166.2,7377.1,7558.9,6707.8,8069.5,8278.2,7380.4,6510.423460378984,6347.1427606001,5851.305320016547,6561.98185912627,6262.457778166549,5861.169302325581,7377.1,7089.208245087692,6206.429656753785,6228.536313206135,0.9795052895694155,6890.9126339471595,0.19934556559990346,6236.290513665209
39,False,High,Master Protein,-1.7449031775056822e+17,2100,NP_001092.1,"ACTB#60#actin, cytoplasmic 1 [Homo sapiens]",0,447.673,0,83,25,3461,1,1,1,375,41.7,5.48,24131,5726.65,83,79,1640,1821,25,24,36,44543.2,44670.9,44413.3,46037.2,45927.7,45398.0,54810.4,53502.5,52601.8,54852.2,53719.8,53205.3,42143.71165661785,40399.0395885743,41517.6819774245,45175.826777671624,42365.00892582224,43152.24351901929,54810.4,50177.98411578461,48670.11114204825,43564.35974083772,0.10120574682529915,51219.498419277625,0.026363442404271485,41353.477740872215
40,False,High,Master Protein,-8.775397801672845e+18,104,XP_016884680.1,HUWE1#10075#E3 ubiquitin-protein ligase HUWE1 isoform X1 [Homo sapiens],0,441.813,0,24,64,445,0,64,1,4501,494.0,5.24,1968,767.85,22,23,204,241,60,63,0,5463.3,6840.8,6683.3,5436.0,6705.0,6653.0,5311.5,6692.7,6459.4,5079.4,6314.4,6395.6,5168.998632644272,6186.617015048254,6247.568272560723,5334.290407831557,6184.88156053184,6323.888191815396,5311.5,6276.831817049888,5976.5961604155455,5947.686720059598,0.8724688897210507,5854.975992488478,0.9788659487054288,5867.72797341775
