Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Intensity: F1: 126  Sample  DGN,Intensity: F1: 127N  Sample  DGD,Intensity: F1: 127C  Sample  CA4N,Intensity: F1: 128N  Sample  CA4D,Intensity: F1: 128C  Sample  CA3N,Intensity: F1: 129N  Sample  CA3D,Intensity: F1: 129C  Sample  CA2N,Intensity: F1: 130N  Sample  CA2D,Intensity: F1: 130C  Sample  CA1N,Intensity: F1: 131  Sample  CA1D,Found in Sample: [S1] F1: 126  Sample  DGN,Found in Sample: [S2] F1: 127N  Sample  DGD,Found in Sample: [S3] F1: 127C  Sample  CA4N,Found in Sample: [S4] F1: 128N  Sample  CA4D,Found in Sample: [S5] F1: 128C  Sample  CA3N,Found in Sample: [S6] F1: 129N  Sample  CA3D,Found in Sample: [S7] F1: 129C  Sample  CA2N,Found in Sample: [S8] F1: 130N  Sample  CA2D,Found in Sample: [S9] F1: 130C  Sample  CA1N,Found in Sample: [S10] F1: 131  Sample  CA1D,Modifications,normalized Intensity: F1: 129N  Sample  CA3D,normalized Intensity: F1: 130C  Sample  CA1N,normalized Intensity: F1: 126  Sample  DGN,normalized Intensity: F1: 127C  Sample  CA4N,normalized Intensity: F1: 127N  Sample  DGD,normalized Intensity: F1: 128C  Sample  CA3N,normalized Intensity: F1: 128N  Sample  CA4D,normalized Intensity: F1: 129C  Sample  CA2N
False,High,IsMasterProtein,NP_000549.1,HBA1#3039#hemoglobin subunit alpha [Homo sapiens],0.0,12.83,16,3,7,3,1,142,15.2,8.68,66.0,5.31,3.0,2.0,0,140.9,126.5,120.1,316.7,106.7,205.4,114.2,307.2,179.2,237.3,High,High,High,High,High,High,High,High,High,High,0.0,150.54886363636362,58.1554716981132,45.440250000000006,120.1,75.37413394919169,40.48323529411765,176.47645788336933,35.159427207637236
False,High,IsMasterProtein,NP_000680.2,ALDH1A1#216#retinal dehydrogenase 1 [Homo sapiens],0.007,2.92,3,1,1,1,1,501,54.8,6.73,44.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,Not Found,High,High,High,High,High,High,High,High,Acetyl [N-Term],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_000687.3,ALDH9A1#223#4-trimethylaminobutyraldehyde dehydrogenase isoform 1 [Homo sapiens],0.007,2.286,2,1,2,1,1,518,56.3,6.57,20.0,2.73,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_000692.2,ATP1A1#476#sodium/potassium-transporting ATPase subunit alpha-1 isoform a [Homo sapiens],0.0,60.791,15,13,31,4,1,1023,112.8,5.49,406.0,54.32,12.0,13.0,0,266.1,128.7,74.9,139.4,170.1,106.9,212.8,159.0,216.7,243.7,High,High,High,High,High,High,High,High,High,High,0.0,78.35284090909092,70.32528301886792,85.81725000000002,74.9,76.68498845265589,64.53794117647058,77.67861771058317,65.51599045346063
False,High,IsMasterProtein,NP_000693.1,ATP1A2#477#sodium/potassium-transporting ATPase subunit alpha-2 precursor [Homo sapiens],0.0,46.407,12,10,26,2,1,1020,112.2,5.66,347.0,42.49,10.0,10.0,0,71.3,43.0,26.0,53.1,37.6,44.9,45.1,50.8,50.2,92.9,High,High,High,High,High,High,High,High,High,High,0.0,32.90965909090909,16.29132075471698,22.99425,26.0,25.621247113163975,14.265882352941176,29.58920086393089,13.885202863961815
False,High,IsMasterProtein,NP_000792.1,FKBP1A#2280#peptidyl-prolyl cis-trans isomerase FKBP1A isoform a [Homo sapiens],0.008,3.218,12,1,1,1,1,108,11.9,8.16,38.0,0.0,1.0,0.0,0,38.0,21.5,11.9,18.8,26.9,20.3,36.4,24.0,35.2,40.1,High,High,High,High,High,High,High,High,High,High,0.0,14.878977272727273,11.423396226415095,12.255,11.9,12.810623556581987,10.206176470588234,10.476025917926567,11.206682577565632
False,Medium,IsMasterProtein,NP_000840.2,GSTM3#2947#glutathione S-transferase Mu 3 [Homo sapiens],0.042,1.332,5,1,2,1,1,225,26.5,5.54,29.0,2.74,1.0,1.0,0,35.2,24.2,8.1,25.7,17.5,15.6,20.3,29.9,18.4,49.1,High,High,High,High,High,High,High,High,High,High,0.0,11.434090909090909,5.97132075471698,11.352000000000002,8.1,14.419399538106235,6.639705882352941,14.320950323974083,6.249880668257757
False,High,IsMasterProtein,NP_000843.1,GSTP1#2950#glutathione S-transferase P [Homo sapiens],0.008,3.313,8,2,4,2,1,210,23.3,5.64,0.0,4.07,2.0,2.0,0,37.8,21.9,13.2,22.9,30.1,21.5,30.6,20.3,32.4,46.0,High,High,High,High,High,High,High,High,High,High,0.0,15.758522727272727,10.514716981132075,12.1905,13.2,13.048960739030022,11.420294117647058,12.760691144708424,9.421002386634845
False,High,IsMasterProtein,NP_000935.1,PPP3CA#5530#serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform isoform 1 [Homo sapiens],0.0,6.948,3,2,4,2,1,521,58.7,5.86,31.0,6.15,2.0,2.0,0,74.9,47.2,25.4,33.5,50.0,31.8,66.1,37.5,81.9,66.3,High,High,High,High,High,High,High,High,High,High,0.0,23.307954545454546,26.578867924528303,24.155250000000002,25.4,28.123787528868363,18.970588235294116,18.667386609071276,20.350596658711215
False,High,IsMasterProtein,NP_000936.1,PPP3R1#5534#calcineurin subunit B type 1 [Homo sapiens],0.002,4.128,6,1,2,1,1,170,19.3,4.81,30.0,2.54,1.0,1.0,0,31.0,25.2,12.7,24.4,24.2,18.2,24.0,20.9,28.6,32.4,High,High,High,High,High,High,High,High,High,High,0.0,13.339772727272726,9.281509433962265,9.9975,12.7,15.015242494226328,9.181764705882353,13.596544276457884,7.389021479713604
False,High,IsMasterProtein,NP_000962.2,RPL7#6129#60S ribosomal protein L7 isoform 1 [Homo sapiens],0.009,1.948,4,1,2,1,1,248,29.2,10.65,27.0,2.7,1.0,1.0,0,32.2,14.9,9.6,15.6,36.2,11.4,50.2,18.5,44.1,46.1,High,High,High,High,High,High,High,High,High,High,0.0,8.355681818181818,14.311698113207546,10.384500000000001,9.6,8.878060046189377,13.73470588235294,8.692872570194385,15.455369928400955
False,High,IsMasterProtein,NP_000967.1,RPL12#6136#60S ribosomal protein L12 [Homo sapiens],0.003,4.909,15,2,3,2,1,165,17.8,9.42,43.0,3.28,2.0,1.0,0,14.8,7.8,2.5,9.0,15.2,6.9,18.3,10.3,21.5,21.4,High,High,High,High,High,High,High,High,High,High,0.0,5.057386363636364,6.977358490566037,4.773000000000001,2.5,4.647575057736721,5.767058823529411,5.015118790496761,5.634128878281623
False,High,IsMasterProtein,NP_000969.1,RPL23#9349#60S ribosomal protein L23 [Homo sapiens],0.009,1.85,5,1,2,1,1,140,14.9,10.51,0.0,2.05,1.0,1.0,0,12.5,7.6,2.9,10.9,160.7,0.0,177.8,13.9,124.2,143.5,High,High,High,High,High,Not Found,High,High,High,High,0.0,0.0,40.30641509433962,4.03125,2.9,4.528406466512702,60.971470588235285,6.073866090712744,54.74033412887829
False,High,IsMasterProtein,NP_000970.1,RPL18#6141#60S ribosomal protein L18 isoform 1 [Homo sapiens],0.006,2.379,7,1,2,1,1,188,21.6,11.72,21.0,2.98,1.0,1.0,0,26.7,17.7,9.1,16.3,21.8,14.4,31.3,16.9,29.7,41.1,High,High,High,High,High,High,High,High,High,High,0.0,10.554545454545455,9.638490566037735,8.61075,9.1,10.546420323325636,8.271176470588236,9.0829373650108,9.636515513126492
False,High,IsMasterProtein,NP_000971.1,RPL18A#6142#60S ribosomal protein L18a [Homo sapiens],0.0,7.24,12,2,4,2,1,176,20.7,10.71,19.0,5.18,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_000972.1,RPL19#6143#60S ribosomal protein L19 isoform 1 [Homo sapiens],0.002,4.291,9,1,2,1,1,196,23.5,11.47,26.0,3.03,1.0,1.0,0,17.7,9.0,7.9,11.4,16.1,8.0,18.5,8.4,17.5,19.4,High,High,High,High,High,High,High,High,High,High,0.0,5.863636363636363,5.679245283018868,5.70825,7.9,5.362586605080832,6.108529411764706,6.3524838012958975,5.695704057279237
False,High,IsMasterProtein,NP_000975.2,RPL23A#6147#60S ribosomal protein L23a [Homo sapiens],0.0,9.43,13,2,6,2,1,156,17.7,10.45,80.0,10.48,2.0,2.0,0,32.9,9.7,14.1,20.6,62.6,17.3,75.1,23.1,67.0,76.6,High,High,High,High,High,High,High,High,High,High,0.0,12.680113636363636,21.743396226415094,10.61025,14.1,5.779676674364896,23.751176470588234,11.47904967602592,23.12147971360382
False,Medium,IsMasterProtein,NP_000980.1,RPL30#6156#60S ribosomal protein L30 [Homo sapiens],0.034,1.412,7,1,1,1,1,115,12.8,9.63,0.0,0.0,1.0,0.0,0,58.8,30.9,18.6,38.3,71.0,24.3,75.5,48.8,67.1,74.5,High,High,High,High,High,High,High,High,High,High,0.0,17.810795454545453,21.77584905660377,18.963,18.6,18.411547344110854,26.938235294117646,21.342116630669548,23.244630071599047
False,High,IsMasterProtein,NP_000995.1,RPLP2#6181#60S acidic ribosomal protein P2 [Homo sapiens],0.007,2.954,29,1,2,1,1,115,11.7,4.54,16.0,2.66,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,Not Found,Not Found,Not Found,High,Not Found,High,Not Found,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001001.2,RPS6#6194#40S ribosomal protein S6 [Homo sapiens],0.002,3.813,5,1,2,1,1,249,28.7,10.84,27.0,2.71,1.0,1.0,0,33.7,19.1,12.1,22.3,30.2,18.6,47.1,20.2,34.2,55.7,High,High,High,High,High,High,High,High,High,High,0.0,13.632954545454545,11.098867924528303,10.868250000000002,12.1,11.380600461893765,11.458235294117646,12.426349892008641,14.500954653937947
False,High,IsMasterProtein,NP_001001973.1,"ATP5F1C#509#ATP synthase subunit gamma, mitochondrial isoform L (liver) precursor [Homo sapiens]",0.0,5.489,8,2,4,2,1,298,33.0,9.22,71.0,5.05,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001001995.1,GPM6B#2824#neuronal membrane glycoprotein M6-b isoform 1 [Homo sapiens],0.0,5.318,3,1,2,1,1,328,36.2,6.09,28.0,2.81,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001002.1,RPS7#6201#40S ribosomal protein S7 [Homo sapiens],0.006,2.487,6,1,2,1,1,194,22.1,10.1,32.0,2.49,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001003.1,RPS8#6202#40S ribosomal protein S8 [Homo sapiens],0.002,3.743,10,2,3,2,1,208,24.2,10.32,34.0,5.11,1.0,2.0,0,59.3,49.8,23.1,45.8,59.0,32.7,69.5,42.1,66.3,82.7,High,High,High,High,High,High,High,High,High,High,0.0,23.967613636363637,21.516226415094337,19.12425,23.1,29.6729792147806,22.385294117647057,25.52138228941685,21.397374701670646
False,High,IsMasterProtein,NP_001007.2,RPS12#6206#40S ribosomal protein S12 [Homo sapiens],0.0,13.67,23,2,4,2,1,132,14.5,7.21,152.0,2.6,2.0,1.0,0,10.2,9.9,6.8,8.8,61.4,6.4,62.4,11.7,43.8,59.4,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],4.6909090909090905,14.214339622641507,3.2895,6.8,5.898845265588915,23.295882352941174,4.9036717062635,19.21145584725537
False,High,IsMasterProtein,NP_001007068.1,SDCBP#6386#syntenin-1 isoform 1 [Homo sapiens],0.009,1.673,3,1,1,1,1,298,32.4,7.53,21.0,0.0,1.0,0.0,0,16.5,12.9,11.4,16.2,16.5,12.2,13.8,13.7,19.3,23.5,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],8.942045454545454,6.263396226415094,5.32125,11.4,7.686374133949192,6.260294117647058,9.027213822894169,4.248687350835323
False,High,IsMasterProtein,NP_001007075.1,RPL32#6161#60S ribosomal protein L32 [Homo sapiens],0.008,2.008,5,1,2,1,1,135,15.9,11.33,16.0,2.22,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001010.2,RPS15A#6210#40S ribosomal protein S15a [Homo sapiens],0.009,1.49,6,1,1,1,1,130,14.8,10.13,0.0,2.18,0.0,1.0,0,42.4,22.6,12.6,23.8,171.9,11.7,191.1,34.7,134.7,183.4,High,High,High,High,High,High,High,High,High,High,0.0,8.57556818181818,43.713962264150936,13.674,12.6,13.466050808314089,65.22088235294117,13.2622030237581,58.83508353221957
False,High,IsMasterProtein,NP_001014809.1,CRMP1#1400#dihydropyrimidinase-related protein 1 isoform 1 [Homo sapiens],0.0,16.547,6,3,9,1,1,686,74.2,6.86,109.0,14.97,3.0,3.0,0,43.8,25.5,15.5,34.9,35.0,28.3,41.2,47.1,35.1,49.7,High,High,High,High,High,High,High,High,High,High,0.0,20.742613636363636,11.390943396226415,14.125499999999999,15.5,15.193995381062356,13.279411764705882,19.447516198704104,12.684486873508355
False,High,IsMasterProtein,NP_001017963.2,HSP90AA1#3320#heat shock protein HSP 90-alpha isoform 1 [Homo sapiens],0.0,48.107,15,11,26,2,1,854,98.1,5.16,258.0,36.89,10.0,11.0,0,32.4,25.8,12.2,22.3,21.5,22.3,26.9,21.5,27.9,33.2,High,High,High,High,High,High,High,High,High,High,0.0,16.344886363636363,9.054339622641509,10.449,12.2,15.372748267898384,8.15735294117647,12.426349892008641,8.281861575178997
False,High,IsMasterProtein,NP_001017992.1,ACTBL2#345651#beta-actin-like protein 2 [Homo sapiens],0.0,28.22,17,4,22,1,1,376,42.0,5.59,278.0,34.69,4.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001020272.1,MBP#4155#Golli-MBP isoform 1 [Homo sapiens],0.0,16.639,12,4,15,4,1,304,33.1,9.79,85.0,19.41,4.0,3.0,0,262.6,196.6,101.8,531.9,339.1,386.3,410.8,643.6,320.6,1031.5,High,High,High,High,High,High,High,High,High,High,0.0,283.1403409090909,104.04377358490567,84.6885,101.8,117.14272517321017,128.6585294117647,296.39352051835857,126.47541766109786
False,High,IsMasterProtein,NP_001022.1,RPS28#6234#40S ribosomal protein S28 [Homo sapiens],0.002,3.951,16,1,2,1,1,69,7.8,10.7,42.0,2.14,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,Not Found,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001029249.1,H4C15#554313#histone H4 [Homo sapiens],0.0,13.294,20,3,8,3,1,103,11.4,11.36,48.0,13.22,3.0,3.0,0,30.6,29.0,15.2,30.2,39.1,28.6,53.9,20.2,46.4,89.6,High,High,High,High,High,High,High,High,High,High,0.0,20.9625,15.05811320754717,9.868500000000001,15.2,17.27944572748268,14.834999999999999,16.828509719222463,16.5945107398568
False,High,IsMasterProtein,NP_001035807.1,H2AC19#723790#histone H2A type 2-A [Homo sapiens],0.0,43.014,49,4,20,1,1,130,14.1,10.9,377.0,41.44,4.0,4.0,2,155.7,73.0,38.7,117.7,69.9,68.4,85.4,124.0,68.1,150.7,Not Found,Not Found,High,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,0.0,50.13409090909091,22.10037735849056,50.213249999999995,38.7,43.49653579676674,26.52088235294118,65.58660907127431,26.29260143198091
False,High,IsMasterProtein,NP_001035930.1,PSAP#5660#prosaposin isoform b preproprotein [Homo sapiens],0.002,4.011,2,1,2,1,1,527,58.4,5.14,24.0,2.78,1.0,1.0,0,25.8,16.1,11.7,18.9,51.7,10.5,57.0,20.2,45.1,94.7,High,High,High,High,High,High,High,High,High,High,0.0,7.696022727272727,14.63622641509434,8.320500000000001,11.7,9.59307159353349,19.61558823529412,10.531749460043196,17.54892601431981
False,Medium,IsMasterProtein,NP_001036143.1,RHOC#389#rho-related GTP-binding protein RhoC precursor [Homo sapiens],0.045,1.276,4,1,2,1,1,193,22.0,6.58,0.0,1.69,1.0,1.0,0,48.7,22.1,16.4,28.8,29.0,16.6,37.2,29.9,33.9,41.1,High,High,High,High,High,High,High,High,High,High,0.0,12.167045454545455,11.001509433962264,15.705750000000002,16.4,13.168129330254043,11.002941176470587,16.048380129589635,11.452983293556088
False,High,IsMasterProtein,NP_001036816.1,TPM3#7170#tropomyosin alpha-3 chain isoform Tpm3.2cy [Homo sapiens],0.0,6.234,8,2,4,1,1,248,28.9,4.75,48.0,6.12,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001054.2,TF#7018#serotransferrin isoform 1 precursor [Homo sapiens],0.009,1.578,1,1,2,1,1,698,77.0,7.12,20.0,2.41,1.0,1.0,0,65.5,47.3,22.2,38.9,42.5,25.8,48.8,40.1,49.5,55.3,High,High,High,High,High,High,High,High,High,High,0.0,18.910227272727273,16.064150943396225,21.12375,22.2,28.18337182448037,16.125,21.67645788336933,15.024343675417661
False,High,IsMasterProtein,NP_001060.1,TUBB2A#7280#tubulin beta-2A chain isoform 1 [Homo sapiens],0.0,68.507,27,10,47,3,1,445,49.9,4.89,439.0,82.67,10.0,9.0,4,193.1,170.3,84.3,147.1,154.2,130.5,183.3,151.5,207.6,247.4,High,High,High,High,High,High,High,High,High,High,0.0,95.65056818181817,67.37207547169811,62.27475,84.3,101.47205542725175,58.505294117647054,81.96933045356371,56.43365155131266
False,High,IsMasterProtein,NP_001072993.1,PAICS#10606#multifunctional protein ADE2 isoform 1 [Homo sapiens],0.006,2.315,2,1,1,1,1,432,47.9,7.69,30.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001073331.1,DBI#1622#acyl-CoA-binding protein isoform 3 [Homo sapiens],0.009,1.484,8,1,1,1,1,87,10.0,6.57,36.0,0.0,1.0,0.0,0,49.0,35.7,13.4,42.3,25.9,29.6,33.1,44.2,28.2,79.9,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],21.695454545454545,9.151698113207546,15.8025,13.4,21.2715935334873,9.826764705882352,23.571058315334774,10.190692124105013
False,High,IsMasterProtein,NP_001076.2,SERPINA3#12#alpha-1-antichymotrypsin precursor [Homo sapiens],0.007,2.597,4,1,2,1,1,423,47.6,5.52,0.0,3.41,1.0,1.0,0,10.4,2.9,9.5,8.4,14.6,8.5,12.0,6.7,16.3,18.6,High,High,High,High,High,High,High,High,High,High,0.0,6.230113636363636,5.289811320754717,3.354,9.5,1.7279445727482678,5.539411764705882,4.680777537796977,3.694510739856802
False,High,IsMasterProtein,NP_001084.3,ACACB#32#acetyl-CoA carboxylase 2 precursor [Homo sapiens],0.002,3.969,2,1,1,1,1,2458,276.4,6.49,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_001091674.1,HNRNPF#3185#heterogeneous nuclear ribonucleoprotein F [Homo sapiens],0.006,2.299,3,1,1,1,1,415,45.6,5.58,20.0,0.0,1.0,0.0,0,20.9,15.2,10.2,13.6,14.7,12.5,15.9,11.7,16.9,25.8,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],9.161931818181818,5.484528301886792,6.74025,10.2,9.056812933025403,5.57735294117647,7.578401727861771,4.895226730310263
False,High,IsMasterProtein,NP_001091974.1,DDX17#10521#probable ATP-dependent RNA helicase DDX17 isoform 3 [Homo sapiens],0.003,4.655,2,1,2,1,1,731,80.4,8.37,0.0,2.91,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
