Checked,Protein FDR Confidence: Combined,Master,Unique Sequence ID,Protein Group IDs,Accession,Description,Exp. q-value: Combined,Sum PEP Score,# Decoy Protein: Combined,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,Coverage [%] (by Search Engine): Mascot,Coverage [%] (by Search Engine): Sequest HT,# PSMs (by Search Engine): Mascot,# PSMs (by Search Engine): Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,normalized Abundances (by Bio. Rep.): Cntrol 1,normalized Abundances (by Bio. Rep.): Cntrol 2,normalized Abundances (by Bio. Rep.): Cntrol 3,normalized Abundances (by Bio. Rep.): Sample- A1,normalized Abundances (by Bio. Rep.): Sample- A2,normalized Abundances (by Bio. Rep.): Sample- A3,normalized Abundances (by Bio. Rep.): Sample- B1,normalized Abundances (by Bio. Rep.): Sample- B2,normalized Abundances (by Bio. Rep.): Sample- B3,normalized Abundances (by Bio. Rep.): Sample- C1,normalized Abundances (by Bio. Rep.): Sample- C2,normalized Abundances (by Bio. Rep.): Sample- C3
False,High,Master Protein,-7679085377781864448,347,XP_006717309.1,"SPTAN1#6709#spectrin alpha chain, non-erythrocytic 1 isoform X2 [Homo sapiens]",0,697.561,0,50,90,876,0,2,1,2505,288.4,5.41,4593,1397.09,47,48,422,454,83,82,90,13405.7,12823.2,11888.1,12844.1,12274.9,11202.1,12632.5,12168.6,11120.4,12569.8,11969.2,11121.3,12674.089278878362,11588.271234505786,11104.740180840376,12594.379728774025,11314.268101236295,10640.009170121988,12623.076217931697,11403.958993940401,10281.536910082128,12569.8,11178.910573525414,10486.259652095065
False,High,Master Protein,2962281166201317376,2863,NP_002464.1,MYH9#4627#myosin-9 [Homo sapiens],0,694.687,0,44,79,1406,66,66,1,1960,226.4,5.6,10014,2405.05,44,38,701,705,78,62,13,18645.4,17893.2,15199.7,18995.2,18502.7,15546.7,17064.8,16339.7,13878.9,16600.8,15822.8,13383.8,17627.83474495167,16170.008644742258,14198.124117959931,18625.887514423615,17054.681373921158,14766.60898984436,17052.069744212215,15312.95866190753,12831.95052528136,16600.8,14778.069229587434,12619.56802997041
False,High,Master Protein,-4567547795878987264,1081,NP_001104026.1,FLNA#2316#filamin-A isoform 2 [Homo sapiens],0,693.035,0,47,84,810,0,78,1,2647,280.6,6.06,3837,1225.28,45,46,371,439,81,82,7,12269.9,11744.8,10437.3,13417.6,12981.1,11456.3,13562.4,12663.4,11240.9,12774.0,12330.4,10863.1,11600.275110058377,10613.725746695329,9749.539849890667,13156.729506061021,11965.200991369256,10881.45410732528,13552.282517164207,11867.667137046568,10392.94703900419,12774.0,11516.261649550326,10242.803199866374
False,High,Master Protein,-1062977815781559168,1894,XP_006717310.1,"SPTAN1#6709#spectrin alpha chain, non-erythrocytic 1 isoform X4 [Homo sapiens]",0,686.499,0,51,89,871,0,1,1,2490,286.7,5.4,4572,1386.17,47,48,419,452,81,81,0,0.0,41.5,0.0,0.0,34.5,0.0,0.0,39.6,0.0,0.0,39.8,0.0,0.0,37.503373279055936,0.0,0.0,31.80003498950315,0.0,0.0,37.111646052959244,0.0,0.0,37.172128532091655,0.0
False,High,Master Protein,-8201100139023696896,243,NP_005091.2,AKAP12#9590#A-kinase anchor protein 12 isoform 1 [Homo sapiens],0,663.494,0,58,73,993,0,73,1,1782,191.4,4.41,4550,1615.71,56,54,452,541,71,64,0,12800.6,13270.7,10591.0,12559.4,13067.1,10626.9,12149.0,12740.3,9978.5,13529.6,14234.2,11062.0,12102.012369604747,11992.675078900425,9893.111872820755,12315.21498318796,12044.470643806859,10093.67113755183,12139.936906523031,11939.73495476052,9225.77569667049,13529.6,13294.359596771334,10430.345757373294
False,High,Master Protein,6488855965708197888,3729,XP_005254502.1,PKM#5315#pyruvate kinase PKM isoform X4 [Homo sapiens],0,659.459,0,77,41,2847,0,5,1,531,57.9,7.84,18334,4862.45,77,69,1318,1529,41,39,50,56097.1,52408.9,52268.8,53003.5,49522.3,48863.0,47841.2,44532.0,43969.5,48862.2,45827.8,45655.4,53035.62318164417,47361.69975529433,48824.57613616216,51972.98416814522,45646.69196407744,46411.187909380445,47805.51070313191,41733.73287955508,40652.67770654438,48862.2,42801.93145585402,43048.41870287296
False,High,Master Protein,-2305783293341844736,1619,NP_001367.2,DYNC1H1#1778#cytoplasmic dynein 1 heavy chain 1 [Homo sapiens],0,654.727,0,30,102,700,102,102,1,4646,532.1,6.4,3364,1082.75,29,29,360,340,99,97,0,8774.4,9408.9,10434.5,9093.6,9671.7,11018.6,8628.0,9218.7,10465.2,7903.5,8461.7,9519.9,8295.540625897214,8502.782863742395,9746.924354352579,8916.79849125898,8914.794156752974,10465.716699717566,8621.563554982362,8639.422511828672,9675.761669669391,7903.5,7903.0,8976.301624988067
False,High,Master Protein,3453697574232543232,2984,NP_004915.2,ACTN4#81#alpha-actinin-4 isoform 1 [Homo sapiens],0,640.574,0,77,63,1668,0,45,1,911,104.8,5.44,9286,2520.79,77,72,821,847,63,58,20,27908.4,29233.9,25519.7,27745.6,28750.7,24989.9,31759.5,33438.7,28342.9,32756.3,34752.4,29715.2,26385.31022107379,26418.550942231166,23838.093386915665,27206.15864114049,26500.674376020528,23735.97496544679,31735.807571217236,31337.505021997178,26204.864257469762,32756.3,32457.806020066888,28018.42435811778
False,High,Master Protein,491541445040481152,2267,NP_733821.1,LMNA#4000#lamin isoform A [Homo sapiens],0,637.934,0,76,61,2767,0,4,1,664,74.1,7.02,13070,3834.81,75,74,1304,1463,59,54,69,53423.5,58666.5,47583.9,57552.8,62694.4,51319.2,62949.9,69295.0,56365.6,63557.8,69745.2,56655.1,50507.93383338118,53016.66622833096,44448.385048165,56433.8348077472,57787.94532306975,48744.14249143681,62902.939688199374,64940.6947787831,52113.682678583966,63557.8,65140.13916825224,53420.02186933282
False,High,Master Protein,682895518506643584,2325,NP_005338.1,HSPA5#3309#endoplasmic reticulum chaperone BiP precursor [Homo sapiens],0,616.093,0,73,52,2721,48,49,1,654,72.3,5.16,13276,3993.22,72,73,1274,1447,51,46,3,40084.7,38870.6,39767.4,40403.3,39258.7,40241.5,46518.1,45712.7,46483.6,41136.6,40907.6,41797.7,37897.093513733365,35127.195695924616,37146.949021925415,39617.76243532638,36186.319815721945,38222.29126855357,46483.39772914059,42840.240972856314,42977.12754158965,41136.6,38206.59711405509,39410.99827002004
False,High,Master Protein,-1099892537052863360,1885,NP_001269554.1,LMNA#4000#lamin isoform C [Homo sapiens],0,606.616,0,76,58,2714,0,1,1,572,65.1,6.84,12635,3798.54,76,74,1284,1430,56,51,0,444.2,513.0,179.0,454.8,536.5,186.5,454.3,533.4,180.3,411.2,534.2,162.3,419.9579624844483,463.59591547363124,167.2048933278175,445.9575914736281,494.51358759038953,177.14193858542154,453.9610944631997,499.88262638001163,166.69913895973235,411.2,498.92841863928055,153.03246396869332
False,High,Master Protein,-8210818149912646656,240,NP_002853.2,"PYGB#5834#glycogen phosphorylase, brain form [Homo sapiens]",0,600.892,0,74,70,1503,58,58,1,843,96.6,6.86,9868,2428.34,74,73,734,769,67,61,12,23078.4,23828.0,28023.9,24195.1,25130.3,29660.0,23143.9,24146.6,28292.2,21546.6,22314.3,26312.5,21818.905541200114,21533.262132369757,26177.28050351634,23724.688921423876,23163.606356426404,28171.742082807523,23126.634765896648,22629.294762181456,26157.988792437824,21546.6,20840.955469941026,24810.022847666314
False,High,Master Protein,7563214759205697536,3982,XP_011522180.1,MYH10#4628#myosin-10 isoform X1 [Homo sapiens],0,595.936,0,39,68,1135,0,57,1,2016,233.3,5.62,8026,1903.21,37,33,563,572,66,53,1,12920.4,12104.5,9708.3,12765.1,12143.0,9566.3,11899.0,11296.9,9053.9,11585.5,10896.4,8673.3,12215.274332472007,10938.78510497187,9068.57690443827,12516.915679243646,11192.690576160485,9086.289153296075,11890.123405277598,10587.03419938574,8370.92254147266,11585.5,10176.944254700591,8178.043559702203
False,High,Master Protein,-2220837361715177216,1638,NP_001258898.1,HSP90AB1#3326#heat shock protein HSP 90-beta isoform a [Homo sapiens],0,593.239,0,67,50,3487,0,30,1,724,83.2,5.03,13508,5581.42,67,63,1601,1886,50,42,23,45755.2,45825.0,50403.0,45942.1,45992.1,50918.0,42287.8,42383.7,46361.5,39637.1,39521.9,43547.7,43258.128241937025,41411.85736175273,47081.722002245726,45048.87480923608,42392.76490552834,48363.073613364584,42256.25351186638,39720.426081182035,42864.2381080512,39637.1,36912.390618906364,41061.07104848716
False,High,Master Protein,3819136565778514944,3072,NP_001952.1,EEF2#1938#elongation factor 2 [Homo sapiens],0,587.683,0,67,51,1910,50,50,1,858,95.3,6.83,11039,3019.65,67,66,895,1015,51,48,1,41114.4,41922.4,40417.8,41625.0,42485.2,40476.7,37942.9,38592.7,36833.4,33829.0,34805.5,33419.2,38870.59804766006,37885.09436033481,37754.49127120146,40815.70964179809,39160.31439234896,38445.68957394387,37914.594785621266,36167.64198555657,34054.88666089521,33829.0,32507.399990545633,31510.92125608475
False,High,Master Protein,-3449706356717901824,1323,XP_016877802.1,PKM#5315#pyruvate kinase PKM isoform X5 [Homo sapiens],0,561.517,0,71,39,2599,0,3,1,531,58.0,7.71,16916,4278.48,71,63,1214,1385,39,36,0,1434.0,153.0,268.9,1336.4,136.6,229.2,1333.0,129.6,219.1,1302.3,138.0,224.0,1355.740022968705,138.26544847459178,251.1809822114532,1310.4171619291042,125.90970375554,217.69936902830358,1332.0055886406453,121.45629617332116,202.572275907251,1302.3,128.8882848600163,211.20931564379114
False,High,Master Protein,-6896953880380314624,525,NP_009057.1,VCP#7415#transitional endoplasmic reticulum ATPase isoform 1 [Homo sapiens],0,558.759,0,76,54,1620,3,54,1,806,89.3,5.26,8857,2601.29,76,68,771,849,54,47,0,30516.6,28886.6,27939.1,29379.9,27917.7,26789.0,28127.5,26863.6,26469.2,28433.4,27325.8,26506.4,28851.168748205568,26104.697411151257,26098.06835293422,28808.683908830357,25732.864835549335,25444.80103359173,28106.517025123594,25175.56603303727,24472.506095135595,28433.4,25521.56155382488,24992.850911520472
False,High,Master Protein,-8293079878251606016,219,NP_003290.1,HSP90B1#7184#endoplasmin precursor [Homo sapiens],0,540.241,0,71,59,2457,57,57,1,803,92.4,4.84,10608,3401.53,71,63,1165,1292,59,51,2,43212.6,42647.5,44596.5,40011.4,38733.5,41138.6,47689.6,46625.5,49971.0,44645.9,43807.9,46562.3,40854.28962101636,38540.36414261538,41657.83813013415,39233.48191620036,35702.2218917658,39074.37723694489,47654.02379597668,43695.68315763261,46201.4568660942,44645.9,40915.39923419643,43903.53356161115
False,High,Master Protein,-772083225745130752,1971,XP_011541100.1,HSPA8#3312#heat shock cognate 71 kDa protein isoform X1 [Homo sapiens],0,535.529,0,80,48,2339,9,39,1,646,70.9,5.52,10260,3260.34,80,78,1061,1278,48,46,6,43736.4,41527.0,47141.4,43944.2,41279.9,46560.9,39888.0,37439.0,41888.3,38765.7,36773.9,41399.5,41349.503445305774,37527.773064080866,44035.04334259204,43089.81880218867,38049.34099603452,44224.60100955472,39858.243750711226,35086.43728729145,38728.47222677181,38765.7,34345.83259865039,39035.53599551398
False,High,Master Protein,-5866289401045489664,770,NP_006827.1,GCN1#10985#eIF-2-alpha kinase activator GCN1 [Homo sapiens],0,533.25,0,38,77,653,77,77,1,2671,292.5,7.43,3450,1015.6,35,36,313,340,73,70,0,9107.6,8933.8,11627.6,8724.1,8572.5,11035.0,8273.4,7994.2,10729.9,7903.0,7717.9,10079.9,8610.55636903053,8073.437016877829,10861.40568524319,8554.482462126383,7901.617389783065,10481.293792440358,8267.22808481584,7491.866688802192,9920.494127143827,7903.0,7208.310824066085,9504.324914097546
False,High,Master Protein,7054273267636823040,3854,NP_001348.2,DHX9#1660#ATP-dependent RNA helicase A [Homo sapiens],0,523.236,0,48,51,974,51,51,1,1270,140.9,6.84,6291,1618.59,48,45,491,483,51,45,0,12381.4,13556.5,12207.7,12794.6,13942.2,12672.4,13003.0,14191.3,13057.9,13392.4,14409.4,12914.4,11705.690042109292,12250.951321867995,11403.280314402222,12545.842128118913,12851.08544436669,12036.53352562947,12993.299826777427,13299.55814725658,12072.882343994946,13392.4,13457.991680158832,12176.971365849002
False,High,Master Protein,5579729439990208512,3523,NP_001419.1,ENO1#2023#alpha-enolase isoform 1 [Homo sapiens],0,512.817,0,72,33,3676,5,30,1,434,47.1,7.39,15112,5854.93,71,72,1679,1997,32,30,4,60020.2,60428.7,65880.3,58056.9,58781.1,63647.8,56577.2,57363.7,62621.9,57985.7,59014.6,64077.5,56744.62156665709,54609.15886429126,61539.15382069618,56928.133888358134,54180.899615115464,60454.12696352383,56534.9936906523,53759.12451232672,57898.04109829431,57985.7,55118.047649999404,60418.59340698673
False,High,Master Protein,5950667386624240640,3608,XP_016860269.1,"SPTBN1#6711#spectrin beta chain, non-erythrocytic 1 isoform X1 [Homo sapiens]",0,512.358,0,43,79,533,0,73,1,2364,274.4,5.57,2840,769.35,43,41,262,271,79,73,6,10319.9,9004.7,7088.0,9463.8,7852.2,6362.7,9631.1,8050.7,6369.4,9370.8,7922.4,6245.0,9756.695580916834,8137.509044961807,6620.940133561846,9279.800910703872,7237.687963610917,6043.437065080224,9623.915247379535,7544.816385822197,5888.926764781581,9370.8,7399.30831865937,5888.402572301231
False,High,Master Protein,-7065009906831581184,479,NP_005339.3,HSP90AA1#3320#heat shock protein HSP 90-alpha isoform 2 [Homo sapiens],0,502.605,0,70,50,2948,1,32,1,732,84.6,5.02,10321,4657.0,70,59,1377,1571,50,39,0,12065.9,15517.2,14442.3,12209.4,15565.2,14112.3,11457.6,14410.9,13268.6,10457.1,13310.3,12337.8,11407.408328548187,14022.827562548599,13490.632574906918,11972.019827040709,14347.069699090274,13404.183270236163,11449.052687478663,13505.359093550262,12267.688270666138,10457.1,12431.46186936431,11633.29595781235
False,High,Master Protein,-2642413420324570624,1527,XP_005271449.1,HYOU1#10525#hypoxia up-regulated protein 1 isoform X1 [Homo sapiens],0,470.492,0,51,43,991,0,42,1,1000,111.3,5.22,5655,1615.45,51,51,469,522,43,40,1,13172.2,16357.5,14247.3,11774.1,14320.3,12343.3,13982.8,17181.3,15260.0,13629.0,16922.6,14730.2,12453.332448081157,14782.203094268854,13308.481992790023,11545.183108552428,13199.595393048752,11723.946866173907,13972.368900858526,16101.674856810825,14108.86777884368,13629.0,15805.25282153704,13889.086880786484
False,High,Master Protein,-8490614885601303552,180,XP_016885266.1,UBA1#7317#ubiquitin-like modifier-activating enzyme 1 isoform X1 [Homo sapiens],0,469.502,0,60,46,1217,0,46,1,1109,123.1,5.85,8011,1932.67,58,59,551,666,45,44,0,15349.7,12574.4,14278.8,15272.5,12529.4,14440.0,14444.1,11780.7,13456.1,13948.6,11346.2,13065.0,14511.996255622547,11363.431733979782,13337.90631759352,14975.565777882552,11548.85096804292,13715.440177873927,14433.324773356599,11040.433551921642,12441.044280399638,13948.6,10597.045345497949,12318.97191467023
False,High,Master Protein,-6252367434931230720,666,NP_004095.4,FASN#2194#fatty acid synthase [Homo sapiens],0,460.858,0,37,66,586,66,66,1,2511,273.3,6.44,3291,920.07,36,36,282,304,64,65,0,7779.3,7821.3,9231.6,7371.7,7241.6,8391.3,6929.1,6829.3,8071.0,6986.8,7086.3,8126.4,7354.747810795291,7068.075504276631,8623.288789078659,7228.376378773404,6674.873431303942,7970.2474490715695,6923.930925918902,6400.165767410975,7462.16722431503,6986.8,6618.413427561837,7662.3722439629655
False,High,Master Protein,6980118088250601472,3836,NP_001605.1,"ACTG1#71#actin, cytoplasmic 2 [Homo sapiens]",0,452.043,0,83,25,3533,1,1,1,375,41.8,5.48,24969,5726.65,83,79,1712,1821,25,24,0,3016.2,1344.6,1039.7,2952.4,1326.7,1009.0,3163.5,1427.2,1139.3,3119.5,1459.3,1156.6,2851.592090152167,1215.1092942414123,971.1895396253176,2894.9982257404126,1222.872649871705,958.3711315425755,3161.140044759701,1337.518718353117,1053.3573434100003,3119.5,1362.9469137407375,1090.5566717571824
False,High,Master Protein,-1518063030880019968,1795,NP_001093.1,ACTN1#87#alpha-actinin-1 isoform b [Homo sapiens],0,450.937,0,71,50,1071,0,32,1,892,103.0,5.41,6057,1569.28,69,67,524,547,49,45,0,6881.1,7018.3,6259.4,6687.1,6789.1,6166.2,7377.1,7558.9,6707.8,8069.5,8278.2,7380.4,6505.566716910709,6342.40782372044,5846.940275397435,6557.086653349381,6257.786015861909,5856.796899224806,7371.5967201507165,7083.919731053375,6201.799691148601,8069.5,7731.615940059326,6958.969790970697
False,High,Master Protein,-174490317750568224,2100,NP_001092.1,"ACTB#60#actin, cytoplasmic 1 [Homo sapiens]",0,447.673,0,83,25,3461,1,1,1,375,41.7,5.48,24131,5726.65,83,79,1640,1821,25,24,36,44543.2,44670.9,44413.3,46037.2,45927.7,45398.0,54810.4,53502.5,52601.8,54852.2,53719.8,53205.3,42112.27265767059,40368.90210629831,41486.7099934992,45142.12583594923,42333.4048402146,43120.0521603269,54769.51171465059,50140.55158960738,48633.80348159761,54852.2,50172.84699292104,50167.20982867233
False,High,Master Protein,-8775397801672845312,104,XP_016884680.1,HUWE1#10075#E3 ubiquitin-protein ligase HUWE1 isoform X1 [Homo sapiens],0,441.813,0,24,64,445,0,64,1,4501,494.0,5.24,1968,767.85,22,23,204,241,60,63,0,5463.3,6840.8,6683.3,5436.0,6705.0,6653.0,5311.5,6692.7,6459.4,5079.4,6314.4,6395.6,5165.142585414872,6182.001829575081,6242.907617753088,5330.3110537613065,6180.26766969909,6319.170602728202,5307.537647460456,6272.149331783847,5972.137649453661,5079.4,5897.479608116571,6030.403121122458
False,High,Master Protein,562319574892213760,2291,NP_002037.2,GAPDH#2597#glyceraldehyde-3-phosphate dehydrogenase isoform 1 [Homo sapiens],0,436.172,0,87,25,2074,1,25,1,335,36.0,8.46,10417,3135.03,83,87,916,1158,24,24,0,38264.4,37286.9,43240.0,36867.9,36404.2,41705.2,34335.1,33755.6,37944.1,34229.8,33346.6,38731.4,36176.135658914725,33696.01274985135,40390.723952485074,36151.09913520355,33555.212572894794,39612.54679406285,34309.48618644818,31634.491906698764,35081.80143428719,34229.8,31144.826666036373,36519.78789252649
False,High,Master Protein,3125798911978513920,2908,NP_001244957.1,TKT#7086#transketolase isoform 2 [Homo sapiens],0,431.727,0,73,39,1082,0,39,1,631,68.8,7.52,5485,1672.5,71,72,497,585,37,34,0,24305.6,19700.4,20391.3,24862.2,19793.3,20791.0,23307.4,18693.5,20205.9,22907.0,18242.7,19198.2,22979.13159153986,17803.167589077435,19047.626487796228,24378.818889040536,18244.27920457196,19747.764317048255,23290.01279571116,17518.85241138873,18681.675717728544,22907.0,17038.19068272333,18101.958408895676
False,High,Master Protein,454806171855366464,2254,NP_000173.2,"HADHA#3030#trifunctional enzyme subunit alpha, mitochondrial precursor [Homo sapiens]",0,429.944,0,69,45,725,45,45,1,763,82.9,9.04,4488,1062.57,66,67,373,352,44,39,0,10071.5,10902.8,12468.4,10105.7,10902.5,12480.9,11481.1,12318.0,14163.4,12690.4,13993.0,15765.8,9521.851911666188,9852.813932214242,11646.801631109272,9909.220827077932,10049.271926755308,11854.64247340905,11472.535156595733,11543.971113140202,13094.989377383656,12690.4,13069.085290189914,14865.552806146796
False,High,Master Protein,2402053168044673024,2733,NP_001677.2,"ATP5F1B#506#ATP synthase subunit beta, mitochondrial precursor [Homo sapiens]",0,423.896,0,74,26,1198,26,26,1,529,56.5,5.4,9795,2263.29,74,74,564,634,26,26,0,13484.6,13089.5,19032.4,14233.8,14027.7,20355.9,15386.7,15083.1,22388.7,15711.4,15246.9,22489.6,12748.683342903627,11828.925410510908,17778.27045682879,13957.06061019641,12929.894226731982,19334.49644853074,15375.221598452377,14135.319913671456,20699.81704064204,15711.4,14240.19413356654,21205.41529063663
