Accession,Description,Abundance: F4: 127N  Sample  Pre-term_RDS,Abundance: F5: 127N  Sample  Pre-term_RDS,Abundance: F4: 127C  Sample  Pre-term_Healthy,Abundance: F5: 127C  Sample  Pre-term_Healthy,Abundance: F4: 128N  Sample  Term_RDS,Abundance: F5: 128N  Sample  Term_RDS,Abundance: F4: 128C  Sample  Term_Healthy,Abundance: F5: 128C  Sample  Term_Healthy,normalized Abundance: F4: 127C  Sample  Pre-term_Healthy,normalized Abundance: F4: 127N  Sample  Pre-term_RDS,normalized Abundance: F4: 128C  Sample  Term_Healthy,normalized Abundance: F4: 128N  Sample  Term_RDS,normalized Abundance: F5: 127C  Sample  Pre-term_Healthy,normalized Abundance: F5: 127N  Sample  Pre-term_RDS,normalized Abundance: F5: 128C  Sample  Term_Healthy,normalized Abundance: F5: 128N  Sample  Term_RDS
NP_000138.2,tissue alpha-L-fucosidase precursor [Homo sapiens],65.2,311.8,55.7,241.9,67.2,301.5,53.2,247.9,55.7,51.32681137266891,45.2485549132948,55.86440677966102,222.14425820256778,243.18794487354236,210.67409240924093,245.52893738140412
NP_000172.2,beta-glucuronidase isoform 1 precursor [Homo sapiens],0.0,279.8,0.0,103.7,0.0,243.8,0.0,181.7,0.0,0.0,0.0,0.0,95.2309201141227,218.22959260942,154.41501650165017,198.54048070841236
NP_000175.1,hemoglobin subunit gamma-2 [Homo sapiens],3173.7,3162.2,507.4,406.7,636.6,640.4,896.3,512.3,507.4,2498.403393457658,762.3360858794384,529.2154963680388,373.4851997146933,2466.3531728002426,435.3704620462046,521.51486401012
NP_000176.2,heparin cofactor 2 precursor [Homo sapiens],38.5,20.0,54.8,31.7,55.0,30.3,76.3,61.1,54.8,30.308009782940996,64.89595375722543,45.722356739305894,29.111091298145507,15.598970165076482,51.92491749174918,24.675047438330168
NP_000177.2,complement factor H isoform a precursor [Homo sapiens],36.3,38.0,25.4,36.7,30.5,32.8,35.4,53.6,25.4,28.57612350963008,30.10900082576383,25.355125100887815,33.70274607703281,29.638043313645316,45.551155115511555,26.71094244149272
NP_000217.2,"keratin, type I cytoskeletal 9 [Homo sapiens]",8448.8,10256.6,11902.5,14993.4,5727.5,7391.9,5849.0,7437.3,11902.5,6651.0730663405675,4974.789430222956,4761.3599677159,13768.90335235378,7999.619869756173,6320.477722772277,6019.652909550916
NP_000292.1,plasminogen isoform 1 precursor [Homo sapiens],558.2,669.7,509.4,554.8,594.2,707.2,621.1,698.6,509.4,439.4267808009783,528.2683732452518,493.9677158999193,509.4900142653352,522.331515977586,593.6947194719472,575.9139784946236
NP_000345.2,thyroxine-binding globulin precursor [Homo sapiens],4133.9,4074.4,2607.0,2614.8,2382.4,2467.4,1598.7,1818.2,2607.0,3254.2930296545396,1359.7530966143684,1980.5262308313156,2401.2517831669047,3177.822202029381,1545.1699669966997,2009.3469323213153
NP_000362.1,transthyretin precursor [Homo sapiens],1077.3,1550.6,508.2,543.6,837.0,1194.7,500.5,590.1,508.2,848.0732191990217,425.6936416184971,695.8111380145278,499.2047075606277,1209.3881568983795,501.48762376237624,972.9135041113218
NP_000382.3,tripeptidyl-peptidase 1 preproprotein [Homo sapiens],56.5,30.1,70.4,34.7,58.3,28.5,105.1,25.7,70.4,44.477988382757566,89.39141205615194,48.46569814366424,31.866084165477893,23.476450098440107,21.84075907590759,23.209203036053125
NP_000396.2,ganglioside GM2 activator isoform 1 precursor [Homo sapiens],19919.0,21822.7,13990.1,13997.1,15481.6,17222.1,13653.2,14727.9,13990.1,15680.655762763681,11612.548307184146,12870.095238095239,12853.970221112697,17020.582311070728,12516.284653465347,14024.954933586334
NP_000415.2,"keratin, type II cytoskeletal 5 [Homo sapiens]",138.6,0.0,141.1,0.0,98.3,0.0,107.0,0.0,141.1,109.10883521858759,91.0074318744839,81.71832122679581,0.0,0.0,0.0,0.0
NP_000419.1,latent-transforming growth factor beta-binding protein 2 precursor [Homo sapiens],56.2,113.7,63.9,124.6,74.0,136.4,37.3,70.4,63.9,44.24182207276063,31.725020644095785,61.517352703793385,114.42403708987162,88.6801453884598,59.82838283828384,111.078431372549
NP_000445.1,superoxide dismutase [Cu-Zn] [Homo sapiens],7751.4,10142.3,5179.9,6305.1,11892.2,16157.7,5169.4,6034.2,5179.9,6102.065117701009,4396.764657308009,9886.17110573043,5790.168509272468,7910.47175526276,5128.074257425743,13158.152277039846
NP_000473.2,apolipoprotein A-IV precursor [Homo sapiens],571.0,254.6,346.2,158.5,380.5,181.4,419.6,195.5,346.2,449.5032100275145,356.8852188274154,316.3155770782889,145.55545649072755,198.5748902014236,166.1427392739274,147.72454142947498
NP_000474.2,apolipoprotein C-II precursor [Homo sapiens],1428.0,1324.5,1057.6,1047.5,1010.6,896.0,652.6,529.8,1057.6,1124.1516355854478,555.0602807597028,840.1275221953189,961.9516761768903,1033.04179918219,450.2425742574257,729.6647691334597
NP_000475.1,amyloid-beta precursor protein isoform a precursor [Homo sapiens],232.8,459.0,259.7,598.4,237.6,568.6,258.2,649.1,259.7,183.26505655762764,219.60858794384805,197.52058111380146,549.5292439372325,357.9963652885053,551.6278877887789,463.04395951929155
NP_000497.1,prothrombin preproprotein [Homo sapiens],2387.2,2959.0,2928.8,3618.4,2837.3,3441.8,2596.2,3075.8,2928.8,1879.2540507490062,2208.1635012386455,2358.6916868442295,3322.8887303851643,2307.8676359230653,2613.922442244225,2802.857368753953
NP_000499.1,fibrinogen alpha chain isoform alpha-E preproprotein [Homo sapiens],1612.0,1831.1,796.5,938.4,1202.1,1429.3,819.2,954.4,796.5,1269.000305716906,696.7597027250207,999.3244552058111,861.7617689015692,1428.1637134635773,811.0825082508251,1163.961891208096
NP_000512.2,beta-hexosaminidase subunit beta isoform 1 preproprotein [Homo sapiens],194.3,307.4,106.5,155.9,195.3,305.5,103.8,141.4,106.5,152.95704677468663,88.28571428571428,162.35593220338984,143.16779600570615,239.7561714372255,120.16666666666667,248.78636938646423
NP_000518.1,low-density lipoprotein receptor isoform 1 precursor [Homo sapiens],1402.5,1418.5,1334.9,1359.0,1167.9,1178.5,940.2,968.6,1334.9,1104.0774992357078,799.6746490503716,970.8934624697338,1248.0117689015692,1106.3569589580495,823.1501650165017,959.7209044908284
NP_000549.1,hemoglobin subunit alpha [Homo sapiens],1999.0,1257.0,232.8,180.5,355.6,235.5,378.7,198.2,232.8,1573.6548456129624,322.0982658959537,295.61581920903956,165.7587375178317,980.3952748750569,168.43729372937293,191.78130929791268
NP_000573.1,osteopontin isoform OPN-b precursor [Homo sapiens],245.0,248.3,365.7,402.2,320.2,307.6,333.2,391.1,365.7,192.86915316416997,283.39884393063585,266.1872477804681,369.35271041369475,193.66121459942454,332.37046204620464,250.49652118912078
NP_000578.2,complement component C7 precursor [Homo sapiens],580.2,651.3,463.1,545.6,573.3,677.8,483.6,553.4,463.1,456.74564353408744,411.31957060280763,476.59322033898303,501.0413694721826,507.9804634257156,470.2986798679868,551.9718532574319
NP_000587.1,insulin-like growth factor-binding protein 1 precursor [Homo sapiens],2303.0,1835.5,1154.8,823.9,1241.9,1016.6,1199.5,949.2,1154.8,1812.9700397431977,1020.2188274153592,1032.4108151735272,756.6128744650499,1431.5954868998942,806.6633663366338,827.8763440860214
NP_000590.1,insulin-like growth factor-binding protein 5 precursor [Homo sapiens],0.0,23.8,0.0,35.2,0.0,46.5,0.0,57.4,0.0,0.0,0.0,0.0,32.325249643366625,18.562774496441016,48.78052805280528,37.86764705882352
NP_000597.2,complement component C8 gamma chain precursor [Homo sapiens],311.7,373.0,174.9,177.6,212.6,222.9,168.9,196.7,174.9,245.3767960868236,143.6556564822461,176.73769168684422,163.09557774607703,290.9207935786764,167.16254125412541,181.52039848197342
NP_000598.2,alpha-1-acid glycoprotein 1 precursor [Homo sapiens],66826.0,59603.2,37045.2,40021.1,90821.1,82182.3,11553.1,12041.4,37045.2,52606.832772852336,9826.336085879439,75500.995157385,36752.615014265335,46487.42692715432,10233.20297029703,66925.81356736242
NP_000599.1,alpha-1-acid glycoprotein 2 precursor [Homo sapiens],30411.8,37510.8,17876.7,23295.3,29881.9,36887.3,10133.3,11831.9,17876.7,23940.80862121675,8618.744013212221,24841.288942695723,21392.795114122684,29256.49250340755,10055.162541254125,30039.46790006325
NP_000604.1,hemopexin precursor [Homo sapiens],7401.0,7274.4,3049.7,3118.6,4446.8,4335.3,2761.9,2931.5,3049.7,5826.2228676245795,2349.0974401321223,3696.6941081517357,2863.906918687589,5673.657428441617,2491.2912541254127,3530.4862428842503
NP_000629.3,vitronectin precursor [Homo sapiens],13526.1,16746.9,11818.2,14461.0,13814.3,17784.8,14093.5,17740.3,11818.2,10648.03041883216,11987.039636663914,11484.042776432607,13279.983951497861,13061.719672875968,15076.327557755776,14483.194180898163
NP_000748.4,macrophage colony-stimulating factor 1 isoform a precursor [Homo sapiens],497.1,1368.9,537.1,1450.1,520.5,1668.7,344.0,1360.3,537.1,391.3275756649343,292.5846407927333,432.6997578692494,1331.6717189728959,1067.67151294866,1156.0305280528053,1358.9191967109423
NP_000884.1,kininogen-1 isoform 2 precursor [Homo sapiens],39634.2,43972.1,24323.8,26957.1,38928.5,43824.1,27842.2,31862.8,24323.8,31200.8758789361,23680.814203137903,32361.868442292172,24755.53940798859,34295.97379978798,27078.122112211222,35688.50648323845
NP_000945.3,prostaglandin-H2 D-isomerase precursor [Homo sapiens],10726.9,13481.1,10254.0,12734.5,10345.0,13524.0,11623.6,14908.0,10254.0,8444.44130235402,9886.29892650702,8599.9596448749,11694.485556348074,10514.563834620629,12669.3399339934,11013.377609108158
NP_001002029.3,complement C4-B preproprotein [Homo sapiens],1250.3,1967.2,721.9,1073.1,777.8,1180.0,867.1,1185.8,721.9,984.2624579639254,737.5004128819157,646.5972558514931,985.4609486447931,1534.3147054369228,1007.7343234323432,960.942441492726
NP_001002236.1,alpha-1-antitrypsin precursor [Homo sapiens],63714.4,61565.3,16016.4,15594.6,32451.8,31279.0,29858.6,28515.5,16016.4,50157.315805564045,25395.836498761353,26977.686844229218,14321.003922967191,48017.76389519916,24233.469471947195,25472.303921568622
NP_001002858.1,annexin A2 isoform 1 [Homo sapiens],22.2,0.0,29.7,0.0,17.9,0.0,40.1,0.0,29.7,17.476306939773767,34.1065235342692,14.880548829701372,0.0,0.0,0.0,0.0
NP_001004019.1,fibulin-2 isoform a precursor [Homo sapiens],142.7,179.3,127.1,166.8,121.2,153.6,97.7,116.9,127.1,112.33644145521247,83.09744013212222,100.75544794188862,153.17760342368047,139.84476752991068,99.3457095709571,125.08538899430738
NP_001005502.1,carboxypeptidase M precursor [Homo sapiens],225.9,265.2,239.9,247.3,229.0,276.5,306.3,327.9,239.9,177.83323142769794,260.5194054500413,190.37126715092816,227.10324536376606,206.84234438891414,278.6608910891089,225.16998734977858
NP_001010980.1,noncompact myelin-associated protein [Homo sapiens],105.0,86.2,149.0,102.7,126.5,118.3,143.4,126.6,149.0,82.65820849893,121.96696944673823,105.16142050040355,94.31258915834523,67.23156141147965,107.58910891089108,96.3385515496521
NP_001012772.1,NHL repeat-containing protein 3 isoform a precursor [Homo sapiens],41.4,0.0,37.3,0.0,48.6,0.0,20.9,0.0,37.3,32.59095077957811,17.776218001651525,40.401937046004846,0.0,0.0,0.0,0.0
NP_001013416.1,insulin-like growth factor-binding protein 3 isoform a precursor [Homo sapiens],23.2,76.3,30.2,104.5,31.0,106.1,32.8,107.5,30.2,18.26352797309691,27.89760528488852,25.770782889426957,95.96558487874465,59.510071179766776,91.35726072607261,86.40338393421882
NP_001013682.2,ferric-chelate reductase 1 isoform 1 precursor [Homo sapiens],133.3,163.6,154.6,139.4,169.9,195.0,94.2,105.3,154.6,104.93656374197494,80.12056151940546,141.2405165456013,128.01533523537805,127.59957595032562,89.48762376237623,158.7998102466793
NP_001014364.1,filaggrin-2 [Homo sapiens],28.9,0.0,33.7,0.0,25.3,0.0,25.5,0.0,33.7,22.750687863038824,21.688687035507844,21.032284100080712,0.0,0.0,0.0,0.0
NP_001020018.1,TGF-beta receptor type-2 isoform A precursor [Homo sapiens],194.5,279.0,146.3,211.8,170.2,273.9,175.8,261.2,146.3,153.11449098135125,149.52436003303055,141.48991121872479,194.5024964336662,217.60563380281693,221.97689768976898,223.05265654648952
NP_001026866.1,5'-3' exonuclease PLD3 [Homo sapiens],42.3,113.0,29.1,95.4,27.8,90.5,44.7,99.9,29.1,33.29944970956893,38.01899256812552,23.110573042776434,87.60877318116977,88.13418143268213,84.89851485148516,73.69939911448449
NP_001026870.2,Golgi-associated kinase 1B isoform 1 [Homo sapiens],35.5,0.0,23.1,0.0,35.6,0.0,28.0,0.0,23.1,27.94634668297157,23.815028901734102,29.594834543987087,0.0,0.0,0.0,0.0
NP_001035110.1,monocyte differentiation antigen CD14 precursor [Homo sapiens],3639.3,3681.3,2301.1,2091.6,2473.7,2336.9,4514.9,4153.3,2301.1,2864.9335065729138,3840.0883567299747,2056.425343018563,1920.781027104137,2871.2244434348027,3529.6196369636964,1903.07321315623
NP_001035930.1,prosaposin isoform b preproprotein [Homo sapiens],18499.3,16407.8,14349.9,12699.7,22829.9,20195.0,14145.6,13004.1,14349.9,14563.038061754814,12031.35260115607,18978.85149313963,11662.52763908702,12797.239133727095,11051.339108910892,16445.95983554712
NP_001036189.1,nectin-2 isoform delta precursor [Homo sapiens],2620.6,2601.4,2100.3,1916.0,1995.8,1980.7,1707.9,1632.6,2100.3,2062.9914399266277,1452.6317093311313,1659.1396287328491,1759.522111269615,2028.9580493714982,1387.4405940594058,1612.9988931056291
NP_001037729.1,prostate-associated microseminoprotein precursor [Homo sapiens],87.5,72.5,44.3,39.5,44.7,47.4,42.7,31.9,44.3,68.88184041577499,36.31791907514451,37.15980629539952,36.2740727532097,56.54626684840225,27.10973597359736,38.60056925996204
NP_001069.1,vascular cell adhesion protein 1 isoform a precursor [Homo sapiens],661.5,535.9,513.1,456.2,670.8,568.4,565.9,499.6,513.1,520.7467135432589,481.31874483897604,557.6464891041162,418.9425820256776,417.9744055732243,424.5775577557756,462.88108791903846
NP_001072.2,cubilin precursor [Homo sapiens],609.1,843.5,445.6,592.6,555.0,783.8,530.0,753.2,445.6,479.49633139712626,450.78447563996696,461.38014527845036,544.2029243937233,657.8865667121006,640.0957095709572,638.2938013915242
NP_001073271.1,lysosomal alpha-glucosidase preproprotein [Homo sapiens],169.4,102.7,377.7,117.4,130.1,95.9,323.6,170.3,377.7,133.35524304494038,275.233691164327,108.15415657788539,107.8120542082739,80.10071179766774,144.72689768976898,78.09693232131562
NP_001073275.1,pepsin A-3 preproprotein [Homo sapiens],52.2,192.9,31.3,114.3,46.8,176.9,16.7,68.6,31.3,41.09293793946805,14.203963666391411,38.90556900726392,104.96522824536378,150.45206724216268,58.29867986798679,144.0599304237824
NP_001073592.1,major prion protein preproprotein Prp precursor [Homo sapiens],88.3,215.7,108.4,197.5,138.4,287.5,70.0,175.8,108.4,69.5116172424335,59.53757225433526,115.05407586763519,181.3703637660485,168.23489323034985,149.4009900990099,234.12792536369383
NP_001091.1,"actin, alpha skeletal muscle [Homo sapiens]",540.6,312.8,269.6,160.4,207.4,117.7,263.9,154.5,269.6,425.571690614491,224.4566473988439,172.41485068603714,147.30028530670472,243.9678933817962,131.29950495049505,95.84993674889309
NP_001092755.1,prothymosin alpha isoform 1 [Homo sapiens],861.4,1148.5,757.8,944.2,890.4,1079.8,618.1,901.0,757.8,678.1121981045551,525.7167630057803,740.2033898305085,867.0880884450786,895.770861729517,765.7013201320132,879.3437697659707
NP_001116078.1,lysosome-associated membrane glycoprotein 2 isoform C precursor [Homo sapiens],917.9,1003.1,1067.8,1235.5,997.3,1100.4,1494.1,1729.5,1067.8,722.5901864873127,1270.7869529314614,829.0710250201776,1134.5978958630528,782.3663486294109,1469.789603960396,896.1195445920303
NP_001121070.1,insulin-like growth factor II isoform 2 [Homo sapiens],426.4,328.5,415.3,340.0,390.0,294.2,749.2,582.7,415.3,335.67104860898803,637.2221304706854,324.2130750605327,312.2325249643367,256.21308496138124,495.1988448844885,239.58412397216946
NP_001121170.1,serine protease inhibitor Kazal-type 5 isoform a preproprotein [Homo sapiens],2096.8,1175.1,1713.1,969.3,2389.5,1398.2,1903.3,1003.2,1713.1,1650.645062671966,1618.8265895953757,1986.4285714285716,890.1381954350927,916.5174920490687,852.5544554455446,1138.6353573687538
NP_001124.1,afamin precursor [Homo sapiens],948.4,567.3,843.1,458.4,1014.1,584.3,1140.4,637.8,843.1,746.6004280036685,969.9521056977705,843.0371267150929,420.96291012838805,442.46478873239437,542.0247524752475,475.8293801391523
NP_001124390.1,tubulin polyglutamylase TTLL6 isoform 1 [Homo sapiens],139.4,107.0,73.4,83.1,110.4,92.1,199.7,207.5,73.4,109.7386120452461,169.85218827415358,91.77723970944311,76.31330242510698,83.45449038315918,176.34075907590758,75.00237191650852
NP_001125.1,alpha-fetoprotein isoform 1 precursor [Homo sapiens],2573.1,2307.7,1280.1,1086.3,2346.1,2032.1,1049.1,896.6,1280.1,2025.5984408437785,892.2981007431873,1950.3494753833736,997.5829172610556,1799.8871724973499,761.9620462046205,1654.8568943706512
NP_001127666.1,prostatic acid phosphatase isoform TM-PAP precursor [Homo sapiens],92.6,172.5,101.4,179.0,86.9,150.0,94.2,152.5,101.4,72.89666768572302,80.12056151940546,72.24132364810332,164.38124108416548,134.54111767378467,129.59983498349834,122.1537001897533
NP_001129162.1,proenkephalin-A preproprotein [Homo sapiens],69.8,73.0,73.7,74.9,58.8,73.0,74.7,66.8,73.7,54.94802812595536,63.53509496284063,48.88135593220339,68.78298858773182,56.93624110252916,56.76897689768977,59.448134092346606
NP_001139786.1,protein ABHD14B isoform 1 [Homo sapiens],378.4,241.4,149.5,72.3,189.5,97.6,156.0,72.5,149.5,297.8844390094772,132.68373245251857,157.53430185633576,66.39532810271041,188.27956989247315,61.613036303630366,79.48134092346615
NP_001152759.1,triosephosphate isomerase isoform 2 [Homo sapiens],34.5,27.7,19.1,19.1,26.6,28.4,21.5,28.2,19.1,27.159125649648423,18.28654004954583,22.112994350282488,17.540121255349504,21.604573678630928,23.965346534653467,23.127767235926623
NP_001157243.1,collagen alpha-2(XI) chain isoform 4 precursor [Homo sapiens],0.0,30.3,0.0,41.5,0.0,27.5,0.0,62.0,0.0,0.0,0.0,0.0,38.11073466476462,23.63243980009087,52.68976897689769,22.394845034788105
NP_001157789.1,filamin-B isoform 1 [Homo sapiens],0.0,40.5,0.0,61.5,0.0,31.8,0.0,31.1,0.0,0.0,0.0,0.0,56.47735378031384,31.587914584279876,26.42986798679868,25.8965844402277
NP_001159400.3,dystroglycan preproprotein [Homo sapiens],311.4,245.7,124.0,126.6,235.0,189.5,154.6,124.2,124.0,245.14062977682664,131.49298100743187,195.3591606133979,116.26069900142653,191.63334847796457,105.54950495049505,154.32084123972166
NP_001161066.1,lysosomal protective protein isoform c precursor [Homo sapiens],158.9,358.8,147.1,362.3,149.1,312.8,115.3,300.8,147.1,125.08942219504739,98.06688687035508,123.94915254237289,332.71130527817405,279.8455247614721,255.63036303630363,254.73118279569889
NP_001165447.1,cadherin-related family member 2 precursor [Homo sapiens],30.9,30.8,30.8,21.1,29.2,26.3,34.3,20.8,30.8,24.32512992968511,29.173410404624274,24.274414850686036,19.376783166904424,24.022414054217784,17.676567656765677,21.41761543327008
NP_001171271.1,adiponectin precursor [Homo sapiens],0.0,40.1,0.0,48.7,0.0,61.0,0.0,41.5,0.0,0.0,0.0,0.0,44.72271754636235,31.275935180978347,35.26815181518152,49.67583807716634
NP_001171488.1,acyl-CoA-binding protein isoform 4 [Homo sapiens],3835.9,4685.9,1308.1,1616.4,4114.0,5092.6,1833.3,2304.4,1308.1,3019.7011617242433,1559.2890173410403,3420.0322841000807,1484.3901569186878,3654.7607148265943,1958.3597359735975,4147.199557242251
NP_001171597.1,immunoglobulin lambda-like polypeptide 5 isoform 1 [Homo sapiens],10446.0,12007.4,5473.2,5344.3,7641.3,8121.0,6118.9,6281.0,5473.2,8223.310914093548,5204.349298100743,6352.3317191283295,4907.836126961484,9365.153718006968,5337.813531353136,6613.401328273244
NP_001176.1,zinc-alpha-2-glycoprotein precursor [Homo sapiens],67420.7,62990.7,76939.9,71418.4,110781.7,102958.9,50156.7,52351.7,76939.9,53074.99312136961,42660.11643270025,92094.55286521387,65585.72753209701,49129.50249886416,44490.30610561056,83845.40401644527
NP_001186088.1,peptidase inhibitor 16 precursor [Homo sapiens],21738.1,23422.5,19053.7,17853.9,20642.7,21336.7,12754.7,13202.0,19053.7,17112.689544481807,10848.341040462428,17160.598062953995,16395.78905135521,18268.343934575194,11219.521452145214,17375.712365591397
NP_001191236.1,vitamin D-binding protein isoform 3 precursor [Homo sapiens],4068.9,3643.1,2377.9,2082.4,3288.3,2945.9,3256.0,2797.6,2377.9,3203.1236624885355,2769.34764657308,2733.615012106538,1912.3323823109845,2841.4304104195066,2377.4983498349834,2399.0172359266285
NP_001193594.1,immunoglobulin superfamily member 8 precursor [Homo sapiens],47.6,40.2,37.4,39.1,41.8,41.6,38.1,47.9,37.4,37.4717211861816,32.40545004128819,34.74899112187248,35.90674037089872,31.35393003180373,40.70709570957096,33.87729285262492
NP_001207417.1,cadherin-13 isoform 2 [Homo sapiens],3501.3,5607.5,2315.2,3888.7,3064.0,4975.0,2595.8,4580.9,2315.2,2756.29700397432,2207.8232865400496,2547.1509281678773,3571.1135877318115,4373.561260033319,3893.0090759075906,4051.4310562934843
NP_001229536.1,neural cell adhesion molecule 1 isoform 5 precursor [Homo sapiens],93.2,71.6,112.6,96.1,116.6,96.0,121.6,108.2,112.6,73.36900030571691,103.42526837324525,96.93139628732848,88.25160485021398,55.8443131909738,91.95214521452145,78.1783681214421
NP_001230587.1,glutaredoxin-1 [Homo sapiens],90.6,114.5,48.2,79.6,92.4,100.5,65.0,82.6,48.2,71.32222561907673,55.28488852188274,76.81355932203391,73.09914407988587,89.30410419506286,70.1963696369637,81.84297912713471
NP_001238759.1,osteopontin isoform 5 [Homo sapiens],2148.4,3216.8,2125.1,2872.2,1742.2,2526.4,1541.2,1845.2,2125.1,1691.2656679914398,1310.8472336911643,1448.3179983857951,2637.630171184023,2508.9383613509017,1568.1155115511551,2057.3940543959516
NP_001239312.1,glycoprotein hormones alpha chain isoform 1 precursor [Homo sapiens],322.8,697.5,96.9,257.8,231.8,648.9,158.5,318.7,96.9,254.11494955671049,134.81007431874482,192.6989507667474,236.74572039942942,544.0140845070423,270.8424092409241,528.4369070208728
NP_001244901.1,procathepsin L isoform 1 preproprotein [Homo sapiens],70.5,117.0,49.2,75.4,57.2,90.4,43.2,50.9,49.2,55.499082849281564,36.74318744838976,47.55125100887813,69.24215406562055,91.25397546569742,43.256600660066006,73.617963314358
NP_001245218.1,methanethiol oxidase isoform 3 [Homo sapiens],0.0,48.1,0.0,22.6,0.0,45.0,0.0,30.5,0.0,0.0,0.0,0.0,20.754279600570616,37.51552324700894,25.91996699669967,36.64611005692599
NP_001255.4,corneodesmosin precursor [Homo sapiens],101.9,134.8,47.8,59.7,72.2,85.9,66.6,86.5,47.8,80.21782329562825,56.64574731626754,60.02098466505247,54.82435805991442,105.1370589126155,73.51072607260726,69.9533523086654
NP_001257327.1,inactive tyrosine-protein kinase 7 isoform e [Homo sapiens],75.4,30.9,60.9,19.8,65.6,28.9,55.3,26.4,60.9,59.35646591256497,47.03468208092485,54.53430185633575,18.182952924393724,24.100408905043164,22.435643564356436,23.534946236559136
NP_001257905.1,IST1 homolog isoform c [Homo sapiens],153.8,86.4,130.4,85.7,101.9,68.9,151.9,102.1,130.4,121.07459492509936,129.19653179190752,84.71105730427765,78.7009629101284,67.38755111313041,86.76815181518151,56.10926628716002
