Checked,Protein FDR Confidence: Combined,Master,Unique Sequence ID,Protein Group IDs,Accession,Description,Exp. q-value: Combined,Sum PEP Score,# Decoy Protein: Combined,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,Coverage [%] (by Search Engine): Mascot,Coverage [%] (by Search Engine): Sequest HT,# PSMs (by Search Engine): Mascot,# PSMs (by Search Engine): Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,normalized Abundances (by Bio. Rep.): Cntrol 1,normalized Abundances (by Bio. Rep.): Cntrol 2,normalized Abundances (by Bio. Rep.): Cntrol 3,normalized Abundances (by Bio. Rep.): Sample- A1,normalized Abundances (by Bio. Rep.): Sample- A2,normalized Abundances (by Bio. Rep.): Sample- A3,normalized Abundances (by Bio. Rep.): Sample- B1,normalized Abundances (by Bio. Rep.): Sample- B2,normalized Abundances (by Bio. Rep.): Sample- B3,normalized Abundances (by Bio. Rep.): Sample- C1,normalized Abundances (by Bio. Rep.): Sample- C2,normalized Abundances (by Bio. Rep.): Sample- C3,average_normalized  (by Bio. Rep.): Sample- A,P VALUE of  (by Bio. Rep.): Sample- A,average_normalized  (by Bio. Rep.): Sample- B,P VALUE of  (by Bio. Rep.): Sample- B,average_normalized  (by Bio. Rep.): Sample- C,P VALUE of  (by Bio. Rep.): Sample- C,average_normalized_of_CONTROL,FOLDCHANGE of   (by Bio. Rep.): Sample- A,FOLDCHANGE of   (by Bio. Rep.): Sample- B,FOLDCHANGE of   (by Bio. Rep.): Sample- C,LOG2 foldchange of  (by Bio. Rep.): Sample- A,LOG2 foldchange of  (by Bio. Rep.): Sample- B,LOG2 foldchange of  (by Bio. Rep.): Sample- C
FALSE,High,Master Protein,-7.67909E+18,347,XP_006717309.1,"SPTAN1#6709#spectrin alpha chain, non-erythrocytic 1 isoform X2 [Homo sapiens]",0,697.561,0,50,90,876,0,2,1,2505,288.4,5.41,4593,1397.09,47,48,422,454,83,82,90,13405.7,12823.2,11888.1,12844.1,12274.9,11202.1,12632.5,12168.6,11120.4,12569.8,11969.2,11121.3,12674.08928,11588.27123,11104.74018,12594.37973,11314.2681,10640.00917,12623.07622,11403.95899,10281.53691,12569.8,11178.91057,10486.25965,11516.219,0.730942832,11436.19071,0.691864389,11411.65674,0.650896196,11789.03356,1.023689595,1.030853181,1.033069416,0.033778325,0.043838871,0.046937198
FALSE,High,Master Protein,2.96228E+18,2863,NP_002464.1,MYH9#4627#myosin-9 [Homo sapiens],0,694.687,0,44,79,1406,66,66,1,1960,226.4,5.6,10014,2405.05,44,38,701,705,78,62,13,18645.4,17893.2,15199.7,18995.2,18502.7,15546.7,17064.8,16339.7,13878.9,16600.8,15822.8,13383.8,17627.83474,16170.00864,14198.12412,18625.88751,17054.68137,14766.60899,17052.06974,15312.95866,12831.95053,16600.8,14778.06923,12619.56803,16815.72596,0.614756779,15065.65964,0.587191653,14666.14575,0.431253998,15998.65584,0.951410357,1.061928665,1.090856187,-0.071860365,0.086686857,0.125460917
FALSE,High,Master Protein,-4.56755E+18,1081,NP_001104026.1,FLNA#2316#filamin-A isoform 2 [Homo sapiens],0,693.035,0,47,84,810,0,78,1,2647,280.6,6.06,3837,1225.28,45,46,371,439,81,82,7,12269.9,11744.8,10437.3,13417.6,12981.1,11456.3,13562.4,12663.4,11240.9,12774,12330.4,10863.1,11600.27511,10613.72575,9749.53985,13156.72951,11965.20099,10881.45411,13552.28252,11867.66714,10392.94704,12774,11516.26165,10242.8032,12001.1282,0.190025092,11937.63223,0.306351028,11511.02162,0.402258869,10654.51357,0.887792663,0.892514811,0.925592352,-0.171705309,-0.164051985,-0.111551152
FALSE,High,Master Protein,-1.06298E+18,1894,XP_006717310.1,"SPTAN1#6709#spectrin alpha chain, non-erythrocytic 1 isoform X4 [Homo sapiens]",0,686.499,0,51,89,871,0,1,1,2490,286.7,5.4,4572,1386.17,47,48,419,452,81,81,0,0,41.5,0,0,34.5,0,0,39.6,0,0,39.8,0,0,37.50337328,0,0,31.80003499,0,0,37.11164605,0,0,37.17212853,0,10.60001166,0.913391723,12.37054868,0.994431735,12.39070951,0.995295243,12.50112443,1.179350063,1.010555372,1.008911105,0.237992013,0.015148374,0.012799065
FALSE,High,Master Protein,-8.2011E+18,243,NP_005091.2,AKAP12#9590#A-kinase anchor protein 12 isoform 1 [Homo sapiens],0,663.494,0,58,73,993,0,73,1,1782,191.4,4.41,4550,1615.71,56,54,452,541,71,64,0,12800.6,13270.7,10591,12559.4,13067.1,10626.9,12149,12740.3,9978.5,13529.6,14234.2,11062,12102.01237,11992.67508,9893.111873,12315.21498,12044.47064,10093.67114,12139.93691,11939.73495,9225.775697,13529.6,13294.3596,10430.34576,11484.45225,0.884555961,11101.81585,0.857527168,12418.10178,0.430109877,11329.26644,0.986487313,1.020487692,0.912318697,-0.019627599,0.029258783,-0.132390211
FALSE,High,Master Protein,6.48886E+18,3729,XP_005254502.1,PKM#5315#pyruvate kinase PKM isoform X4 [Homo sapiens],0,659.459,0,77,41,2847,0,5,1,531,57.9,7.84,18334,4862.45,77,69,1318,1529,41,39,50,56097.1,52408.9,52268.8,53003.5,49522.3,48863,47841.2,44532,43969.5,48862.2,45827.8,45655.4,53035.62318,47361.69976,48824.57614,51972.98417,45646.69196,46411.18791,47805.5107,41733.73288,40652.67771,48862.2,42801.93146,43048.4187,48010.28801,0.545983718,43397.3071,0.090881211,44904.18339,0.13917626,49740.63302,1.03604113,1.146168653,1.107705992,0.051081277,0.196819345,0.147575012
FALSE,High,Master Protein,-2.30578E+18,1619,NP_001367.2,DYNC1H1#1778#cytoplasmic dynein 1 heavy chain 1 [Homo sapiens],0,654.727,0,30,102,700,102,102,1,4646,532.1,6.4,3364,1082.75,29,29,360,340,99,97,0,8774.4,9408.9,10434.5,9093.6,9671.7,11018.6,8628,9218.7,10465.2,7903.5,8461.7,9519.9,8295.540626,8502.782864,9746.924354,8916.798491,8914.794157,10465.7167,8621.563555,8639.422512,9675.76167,7903.5,7903,8976.301625,9432.436449,0.444075872,8978.915912,0.831331797,8260.933875,0.369317445,8848.415948,0.938083813,0.985465955,1.071115697,-0.092211269,-0.021122063,0.099114322
FALSE,High,Master Protein,3.4537E+18,2984,NP_004915.2,ACTN4#81#alpha-actinin-4 isoform 1 [Homo sapiens],0,640.574,0,77,63,1668,0,45,1,911,104.8,5.44,9286,2520.79,77,72,821,847,63,58,20,27908.4,29233.9,25519.7,27745.6,28750.7,24989.9,31759.5,33438.7,28342.9,32756.3,34752.4,29715.2,26385.31022,26418.55094,23838.09339,27206.15864,26500.67438,23735.97497,31735.80757,31337.50502,26204.86426,32756.3,32457.80602,28018.42436,25814.26933,0.854442032,29759.39228,0.126678809,31077.51013,0.048180248,25547.31818,0.989658776,0.858462362,0.822051641,-0.01499691,-0.220173213,-0.282699069
FALSE,High,Master Protein,4.91541E+17,2267,NP_733821.1,LMNA#4000#lamin isoform A [Homo sapiens],0,637.934,0,76,61,2767,0,4,1,664,74.1,7.02,13070,3834.81,75,74,1304,1463,59,54,69,53423.5,58666.5,47583.9,57552.8,62694.4,51319.2,62949.9,69295,56365.6,63557.8,69745.2,56655.1,50507.93383,53016.66623,44448.38505,56433.83481,57787.94532,48744.14249,62902.93969,64940.69478,52113.68268,63557.8,65140.13917,53420.02187,54321.97421,0.258880354,59985.77238,0.098735157,60705.98701,0.07101442,49324.32837,0.907999554,0.822267121,0.81251176,-0.139236506,-0.282320952,-0.2995394
FALSE,High,Master Protein,6.82896E+17,2325,NP_005338.1,HSPA5#3309#endoplasmic reticulum chaperone BiP precursor [Homo sapiens],0,616.093,0,73,52,2721,48,49,1,654,72.3,5.16,13276,3993.22,72,73,1274,1447,51,46,3,40084.7,38870.6,39767.4,40403.3,39258.7,40241.5,46518.1,45712.7,46483.6,41136.6,40907.6,41797.7,37897.09351,35127.1957,37146.94902,39617.76244,36186.31982,38222.29127,46483.39773,42840.24097,42977.12754,41136.6,38206.59711,39410.99827,38008.79117,0.378944634,44100.25541,0.009564171,39584.73179,0.073454427,36723.74608,0.966190845,0.832733183,0.92772502,-0.049619911,-0.26407378,-0.108230845
FALSE,High,Master Protein,-1.09989E+18,1885,NP_001269554.1,LMNA#4000#lamin isoform C [Homo sapiens],0,606.616,0,76,58,2714,0,1,1,572,65.1,6.84,12635,3798.54,76,74,1284,1430,56,51,0,444.2,513,179,454.8,536.5,186.5,454.3,533.4,180.3,411.2,534.2,162.3,419.9579625,463.5959155,167.2048933,445.9575915,494.5135876,177.1419386,453.9610945,499.8826264,166.699139,411.2,498.9284186,153.032464,372.5377059,0.877098821,373.5142866,0.875592046,354.3869609,0.977711563,350.2529238,0.940181137,0.937722964,0.988334681,-0.08898936,-0.092766332,-0.016928429
FALSE,High,Master Protein,-8.21082E+18,240,NP_002853.2,"PYGB#5834#glycogen phosphorylase, brain form [Homo sapiens]",0,600.892,0,74,70,1503,58,58,1,843,96.6,6.86,9868,2428.34,74,73,734,769,67,61,12,23078.4,23828,28023.9,24195.1,25130.3,29660,23143.9,24146.6,28292.2,21546.6,22314.3,26312.5,21818.90554,21533.26213,26177.2805,23724.68892,23163.60636,28171.74208,23126.63477,22629.29476,26157.98879,21546.6,20840.95547,24810.02285,25020.01245,0.446159,23971.30611,0.693599759,22399.19277,0.709547086,23176.48273,0.926317793,0.966842717,1.034701695,-0.110420869,-0.048646879,0.049214898
FALSE,High,Master Protein,7.56321E+18,3982,XP_011522180.1,MYH10#4628#myosin-10 isoform X1 [Homo sapiens],0,595.936,0,39,68,1135,0,57,1,2016,233.3,5.62,8026,1903.21,37,33,563,572,66,53,1,12920.4,12104.5,9708.3,12765.1,12143,9566.3,11899,11296.9,9053.9,11585.5,10896.4,8673.3,12215.27433,10938.7851,9068.576904,12516.91568,11192.69058,9086.289153,11890.12341,10587.0342,8370.922541,11585.5,10176.94425,8178.04356,10931.96514,0.89462493,10282.69338,0.755885182,9980.162605,0.602372542,10740.87878,0.982520402,1.04455889,1.076222824,-0.02544073,0.06289383,0.105976808
FALSE,High,Master Protein,-2.22084E+18,1638,NP_001258898.1,HSP90AB1#3326#heat shock protein HSP 90-beta isoform a [Homo sapiens],0,593.239,0,67,50,3487,0,30,1,724,83.2,5.03,13508,5581.42,67,63,1601,1886,50,42,23,45755.2,45825,50403,45942.1,45992.1,50918,42287.8,42383.7,46361.5,39637.1,39521.9,43547.7,43258.12824,41411.85736,47081.722,45048.87481,42392.76491,48363.07361,42256.25351,39720.42608,42864.23811,39637.1,36912.39062,41061.07105,45268.23778,0.603879935,41613.63923,0.313048911,39203.52056,0.090877775,43917.23587,0.970155633,1.055356769,1.120237041,-0.043711891,0.077730793,0.163804038
FALSE,High,Master Protein,3.81914E+18,3072,NP_001952.1,EEF2#1938#elongation factor 2 [Homo sapiens],0,587.683,0,67,51,1910,50,50,1,858,95.3,6.83,11039,3019.65,67,66,895,1015,51,48,1,41114.4,41922.4,40417.8,41625,42485.2,40476.7,37942.9,38592.7,36833.4,33829,34805.5,33419.2,38870.59805,37885.09436,37754.49127,40815.70964,39160.31439,38445.68957,37914.59479,36167.64199,34054.88666,33829,32507.39999,31510.92126,39473.90454,0.197072077,36045.70781,0.189828103,32615.77375,0.005115322,38170.06123,0.966969487,1.05893499,1.170294518,-0.048457729,0.082614022,0.226871647
FALSE,High,Master Protein,-3.44971E+18,1323,XP_016877802.1,PKM#5315#pyruvate kinase PKM isoform X5 [Homo sapiens],0,561.517,0,71,39,2599,0,3,1,531,58,7.71,16916,4278.48,71,63,1214,1385,39,36,0,1434,153,268.9,1336.4,136.6,229.2,1333,129.6,219.1,1302.3,138,224,1355.740023,138.2654485,251.1809822,1310.417162,125.9097038,217.699369,1332.005589,121.4562962,202.5722759,1302.3,128.8882849,211.2093156,551.3420782,0.958110109,552.0113869,0.959566435,547.4658668,0.9526361,581.7288179,1.055114131,1.053834815,1.062584634,0.077399063,0.075648747,0.087577756
FALSE,High,Master Protein,-6.89695E+18,525,NP_009057.1,VCP#7415#transitional endoplasmic reticulum ATPase isoform 1 [Homo sapiens],0,558.759,0,76,54,1620,3,54,1,806,89.3,5.26,8857,2601.29,76,68,771,849,54,47,0,30516.6,28886.6,27939.1,29379.9,27917.7,26789,28127.5,26863.6,26469.2,28433.4,27325.8,26506.4,28851.16875,26104.69741,26098.06835,28808.68391,25732.86484,25444.80103,28106.51703,25175.56603,24472.5061,28433.4,25521.56155,24992.85091,26662.11659,0.813978792,25918.19638,0.489530314,26315.93749,0.644961362,27017.97817,1.013347087,1.042432806,1.026677396,0.019128403,0.059954392,0.037982927
FALSE,High,Master Protein,-8.29308E+18,219,NP_003290.1,HSP90B1#7184#endoplasmin precursor [Homo sapiens],0,540.241,0,71,59,2457,57,57,1,803,92.4,4.84,10608,3401.53,71,63,1165,1292,59,51,2,43212.6,42647.5,44596.5,40011.4,38733.5,41138.6,47689.6,46625.5,49971,44645.9,43807.9,46562.3,40854.28962,38540.36414,41657.83813,39233.48192,35702.22189,39074.37724,47654.0238,43695.68316,46201.45687,44645.9,40915.39923,43903.53356,38003.36035,0.191581243,45850.38794,0.022482439,43154.94427,0.132649396,40350.83063,1.061770071,0.880054291,0.935022193,0.086471381,-0.184335568,-0.096927487
FALSE,High,Master Protein,-7.72083E+17,1971,XP_011541100.1,HSPA8#3312#heat shock cognate 71 kDa protein isoform X1 [Homo sapiens],0,535.529,0,80,48,2339,9,39,1,646,70.9,5.52,10260,3260.34,80,78,1061,1278,48,46,6,43736.4,41527,47141.4,43944.2,41279.9,46560.9,39888,37439,41888.3,38765.7,36773.9,41399.5,41349.50345,37527.77306,44035.04334,43089.8188,38049.341,44224.60101,39858.24375,35086.43729,38728.47223,38765.7,34345.8326,39035.536,41787.92027,0.775399851,37891.05109,0.26885714,37382.3562,0.216015338,40970.77328,0.980445378,1.081278352,1.095992266,-0.028490837,0.112737962,0.132237618
FALSE,High,Master Protein,-5.86629E+18,770,NP_006827.1,GCN1#10985#eIF-2-alpha kinase activator GCN1 [Homo sapiens],0,533.25,0,38,77,653,77,77,1,2671,292.5,7.43,3450,1015.6,35,36,313,340,73,70,0,9107.6,8933.8,11627.6,8724.1,8572.5,11035,8273.4,7994.2,10729.9,7903,7717.9,10079.9,8610.556369,8073.437017,10861.40569,8554.482462,7901.61739,10481.29379,8267.228085,7491.866689,9920.494127,7903,7208.310824,9504.324914,8979.131215,0.869065679,8559.862967,0.607443267,8205.211913,0.423887213,9181.79969,1.022571056,1.072657322,1.119020421,0.032201096,0.101189258,0.162236365
FALSE,High,Master Protein,7.05427E+18,3854,NP_001348.2,DHX9#1660#ATP-dependent RNA helicase A [Homo sapiens],0,523.236,0,48,51,974,51,51,1,1270,140.9,6.84,6291,1618.59,48,45,491,483,51,45,0,12381.4,13556.5,12207.7,12794.6,13942.2,12672.4,13003,14191.3,13057.9,13392.4,14409.4,12914.4,11705.69004,12250.95132,11403.28031,12545.84213,12851.08544,12036.53353,12993.29983,13299.55815,12072.88234,13392.4,13457.99168,12176.97137,12477.82037,0.114615095,12788.58011,0.096639924,13009.12102,0.079360037,11786.64056,0.944607328,0.921653574,0.906028973,-0.082213367,-0.117703515,-0.142370909
FALSE,High,Master Protein,5.57973E+18,3523,NP_001419.1,ENO1#2023#alpha-enolase isoform 1 [Homo sapiens],0,512.817,0,72,33,3676,5,30,1,434,47.1,7.39,15112,5854.93,71,72,1679,1997,32,30,4,60020.2,60428.7,65880.3,58056.9,58781.1,63647.8,56577.2,57363.7,62621.9,57985.7,59014.6,64077.5,56744.62157,54609.15886,61539.15382,56928.13389,54180.89962,60454.12696,56534.99369,53759.12451,57898.0411,57985.7,55118.04765,60418.59341,57187.72016,0.879333253,56064.0531,0.554451905,57840.78035,0.938879046,57630.97808,1.007750928,1.027948835,0.996372762,0.011139112,0.039768458,-0.005242512
FALSE,High,Master Protein,5.95067E+18,3608,XP_016860269.1,"SPTBN1#6711#spectrin beta chain, non-erythrocytic 1 isoform X1 [Homo sapiens]",0,512.358,0,43,79,533,0,73,1,2364,274.4,5.57,2840,769.35,43,41,262,271,79,73,6,10319.9,9004.7,7088,9463.8,7852.2,6362.7,9631.1,8050.7,6369.4,9370.8,7922.4,6245,9756.695581,8137.509045,6620.940134,9279.800911,7237.687964,6043.437065,9623.915247,7544.816386,5888.926765,9370.8,7399.308319,5888.402572,7520.308646,0.644808538,7685.886133,0.748228235,7552.836964,0.671834243,8171.71492,1.086619619,1.063210511,1.081939801,0.119847001,0.088427272,0.11362023
FALSE,High,Master Protein,-7.06501E+18,479,NP_005339.3,HSP90AA1#3320#heat shock protein HSP 90-alpha isoform 2 [Homo sapiens],0,502.605,0,70,50,2948,1,32,1,732,84.6,5.02,10321,4657,70,59,1377,1571,50,39,0,12065.9,15517.2,14442.3,12209.4,15565.2,14112.3,11457.6,14410.9,13268.6,10457.1,13310.3,12337.8,11407.40833,14022.82756,13490.63257,11972.01983,14347.0697,13404.18327,11449.05269,13505.35909,12267.68827,10457.1,12431.46187,11633.29596,13241.09093,0.812651661,12407.36668,0.602701,11507.28594,0.216934164,12973.62282,0.979800146,1.045638704,1.127426822,-0.029440589,0.064384448,0.173033796
FALSE,High,Master Protein,-2.64241E+18,1527,XP_005271449.1,HYOU1#10525#hypoxia up-regulated protein 1 isoform X1 [Homo sapiens],0,470.492,0,51,43,991,0,42,1,1000,111.3,5.22,5655,1615.45,51,51,469,522,43,40,1,13172.2,16357.5,14247.3,11774.1,14320.3,12343.3,13982.8,17181.3,15260,13629,16922.6,14730.2,12453.33245,14782.20309,13308.48199,11545.18311,13199.59539,11723.94687,13972.3689,16101.67486,14108.86778,13629,15805.25282,13889.08688,12156.24179,0.193388931,14727.63718,0.278250307,14441.11323,0.391916993,13514.67251,1.11174759,0.91764024,0.935847001,0.152829277,-0.123999438,-0.095655408
